Time,plot,x_(m),y_(m),z_(m),log_res25,del_log_res25,swc,del_swc,pF,logK_cmd,cov
2022-12-21 07:30:00,x,0.05,0.6,0.0,1.9361466487521852,-0.009,0.351,0.006,1.985,-0.959,1.716
2022-12-21 07:30:00,x,0.05,0.6,0.05,1.9394343821862676,-0.008,0.349,0.005,1.997,-0.98,1.734
2022-12-21 07:30:00,x,0.05,0.6,0.1,1.960328050530143,-0.002,0.333,0.001,2.098,-1.164,1.736
2022-12-21 07:30:00,x,0.05,0.6,0.15,1.972327830529366,-0.0,0.317,0.0,2.187,-1.334,1.743
2022-12-21 07:30:00,x,0.05,0.6,0.2,1.9906495883188544,-0.002,0.296,0.001,2.303,-1.57,1.663
2022-12-21 07:30:00,x,0.05,0.6,0.25,2.0016818019996987,-0.002,0.283,0.001,2.374,-1.72,1.626
2022-12-21 07:30:00,x,0.05,0.6,0.3,2.0226716399288325,-0.004,0.263,0.002,2.487,-1.964,1.623
2022-12-21 07:30:00,x,0.05,0.6,0.35,2.041897752209658,-0.005,0.246,0.003,2.584,-2.181,1.631
2022-12-21 07:30:00,x,0.05,0.6,0.4,2.052370697332967,-0.006,0.236,0.003,2.646,-2.32,1.624
2022-12-21 07:30:00,x,0.05,0.6,0.45,2.06150148524805,-0.008,0.226,0.003,2.708,-2.461,1.626
2022-12-21 07:30:00,x,0.05,0.6,0.5,2.066158139721646,-0.008,0.221,0.003,2.738,-2.528,1.63
2022-12-21 07:30:00,x,0.05,0.6,0.55,2.0688794364140706,-0.009,0.218,0.003,2.759,-2.575,1.62
2022-12-21 07:30:00,x,0.05,0.6,0.6,2.0675692457184947,-0.009,0.218,0.004,2.758,-2.573,1.603
2022-12-21 07:30:00,x,0.05,0.6,0.65,2.06150148524805,-0.009,0.22,0.004,2.748,-2.552,1.574
2022-12-21 07:30:00,x,0.05,0.6,0.7,2.050998079173384,-0.009,0.223,0.003,2.727,-2.502,1.541
2022-12-21 07:30:00,x,0.05,0.6,0.75,2.0416768576455264,-0.009,0.226,0.003,2.705,-2.453,1.508
2022-12-21 07:30:00,x,0.05,0.6,0.8,2.0292822951559706,-0.008,0.231,0.003,2.676,-2.387,1.561
2022-12-21 07:30:00,x,0.05,0.6,0.85,2.010906019018043,-0.006,0.238,0.003,2.632,-2.287,1.596
2022-12-21 07:30:00,x,0.05,0.6,0.9,2.001521704599469,-0.006,0.242,0.002,2.608,-2.233,1.623
2022-12-21 07:30:00,x,0.05,0.6,0.95,1.9946470383534838,-0.005,0.244,0.002,2.591,-2.195,1.659
2022-12-21 07:30:00,x,0.1,0.6,0.0,1.9377986383330128,-0.009,0.35,0.006,1.992,-0.972,1.717
2022-12-21 07:30:00,x,0.1,0.6,0.05,1.9532182978919899,-0.004,0.339,0.003,2.062,-1.097,1.756
2022-12-21 07:30:00,x,0.1,0.6,0.1,1.960993708942336,-0.002,0.332,0.001,2.102,-1.17,1.812
2022-12-21 07:30:00,x,0.1,0.6,0.15,1.9688143802086437,-0.0,0.322,0.0,2.161,-1.284,1.851
2022-12-21 07:30:00,x,0.1,0.6,0.2,1.9864313289289532,-0.001,0.3,0.001,2.278,-1.52,1.739
2022-12-21 07:30:00,x,0.1,0.6,0.25,2.0041278331225048,-0.003,0.28,0.001,2.389,-1.753,1.622
2022-12-21 07:30:00,x,0.1,0.6,0.3,2.0289736425659974,-0.004,0.258,0.002,2.517,-2.032,1.628
2022-12-21 07:30:00,x,0.1,0.6,0.35,2.040602340114073,-0.005,0.247,0.002,2.578,-2.167,1.623
2022-12-21 07:30:00,x,0.1,0.6,0.4,2.050704485553971,-0.006,0.237,0.003,2.638,-2.302,1.614
2022-12-21 07:30:00,x,0.1,0.6,0.45,2.0609281441775273,-0.007,0.227,0.003,2.704,-2.451,1.622
2022-12-21 07:30:00,x,0.1,0.6,0.5,2.06433067735802,-0.008,0.223,0.003,2.728,-2.506,1.62
2022-12-21 07:30:00,x,0.1,0.6,0.55,2.0676510162575004,-0.009,0.219,0.004,2.756,-2.568,1.612
2022-12-21 07:30:00,x,0.1,0.6,0.6,2.0681153295647086,-0.009,0.218,0.004,2.76,-2.578,1.6
2022-12-21 07:30:00,x,0.1,0.6,0.65,2.061761502342967,-0.009,0.219,0.004,2.748,-2.551,1.578
2022-12-21 07:30:00,x,0.1,0.6,0.7,2.0529285283656566,-0.009,0.222,0.003,2.731,-2.512,1.529
2022-12-21 07:30:00,x,0.1,0.6,0.75,2.0420239272488674,-0.008,0.226,0.003,2.707,-2.457,1.48
2022-12-21 07:30:00,x,0.1,0.6,0.8,2.028912698363332,-0.008,0.231,0.003,2.676,-2.387,1.587
