Time,plot,x_(m),y_(m),z_(m),log_res25,del_log_res25,swc,del_swc,pF,logK_cmd,cov
2023-03-11 01:30:00,x,0.05,0.6,0.0,1.8076905885711088,-0.016,0.413,0.0,1.35,-0.156,1.966
2023-03-11 01:30:00,x,0.05,0.6,0.05,1.8082042186806913,-0.015,0.413,0.0,1.35,-0.156,1.977
2023-03-11 01:30:00,x,0.05,0.6,0.1,1.8096472380365352,-0.006,0.414,0.0,1.319,-0.131,1.982
2023-03-11 01:30:00,x,0.05,0.6,0.15,1.809350933777879,-0.005,0.416,0.001,1.264,-0.089,1.995
2023-03-11 01:30:00,x,0.05,0.6,0.2,1.8060578114809445,-0.006,0.416,0.003,1.239,-0.084,1.933
2023-03-11 01:30:00,x,0.05,0.6,0.25,1.8041803372675098,-0.006,0.41,0.004,1.352,-0.182,1.919
2023-03-11 01:30:00,x,0.05,0.6,0.3,1.7996093152377404,-0.007,0.4,0.005,1.542,-0.351,1.953
2023-03-11 01:30:00,x,0.05,0.6,0.35,1.7940626061864717,-0.007,0.392,0.005,1.655,-0.475,1.999
2023-03-11 01:30:00,x,0.05,0.6,0.4,1.7900598637327978,-0.008,0.387,0.006,1.707,-0.54,2.006
2023-03-11 01:30:00,x,0.05,0.6,0.45,1.7844247055864275,-0.008,0.381,0.006,1.764,-0.618,2.015
2023-03-11 01:30:00,x,0.05,0.6,0.5,1.7809290706364973,-0.009,0.377,0.006,1.798,-0.665,2.022
2023-03-11 01:30:00,x,0.05,0.6,0.55,1.7745534595298318,-0.009,0.373,0.006,1.838,-0.722,2.015
2023-03-11 01:30:00,x,0.05,0.6,0.6,1.7694585640439284,-0.009,0.37,0.006,1.859,-0.754,2.003
2023-03-11 01:30:00,x,0.05,0.6,0.65,1.76025657537275,-0.009,0.366,0.006,1.885,-0.794,1.983
2023-03-11 01:30:00,x,0.05,0.6,0.7,1.7533302213245208,-0.009,0.366,0.006,1.889,-0.8,1.948
2023-03-11 01:30:00,x,0.05,0.6,0.75,1.7477768036726475,-0.009,0.368,0.006,1.869,-0.768,1.924
2023-03-11 01:30:00,x,0.05,0.6,0.8,1.7408835304304295,-0.009,0.373,0.005,1.839,-0.723,1.961
2023-03-11 01:30:00,x,0.05,0.6,0.85,1.7334701186067711,-0.009,0.377,0.005,1.803,-0.67,1.969
2023-03-11 01:30:00,x,0.05,0.6,0.9,1.7288567851575047,-0.009,0.38,0.006,1.775,-0.629,1.978
2023-03-11 01:30:00,x,0.05,0.6,0.95,1.726417470263939,-0.009,0.381,0.005,1.767,-0.618,1.987
2023-03-11 01:30:00,x,0.1,0.6,0.0,1.8074200127438413,-0.016,0.413,0.0,1.35,-0.156,1.968
2023-03-11 01:30:00,x,0.1,0.6,0.05,1.8086092874801944,-0.009,0.414,0.0,1.334,-0.144,2.005
2023-03-11 01:30:00,x,0.1,0.6,0.1,1.8090544272229423,-0.006,0.414,0.0,1.315,-0.129,2.059
2023-03-11 01:30:00,x,0.1,0.6,0.15,1.8096405060933936,-0.005,0.416,0.001,1.274,-0.097,2.099
2023-03-11 01:30:00,x,0.1,0.6,0.2,1.806132470427031,-0.005,0.415,0.002,1.25,-0.09,2.009
2023-03-11 01:30:00,x,0.1,0.6,0.25,1.8033000310624796,-0.006,0.409,0.005,1.367,-0.199,1.918
2023-03-11 01:30:00,x,0.1,0.6,0.3,1.7972051974353558,-0.007,0.398,0.005,1.57,-0.381,1.979
2023-03-11 01:30:00,x,0.1,0.6,0.35,1.793874163326304,-0.007,0.393,0.005,1.644,-0.461,1.996
2023-03-11 01:30:00,x,0.1,0.6,0.4,1.7902218101363763,-0.008,0.388,0.006,1.702,-0.533,2.0
2023-03-11 01:30:00,x,0.1,0.6,0.45,1.7845031772852036,-0.008,0.382,0.006,1.759,-0.61,2.016
2023-03-11 01:30:00,x,0.1,0.6,0.5,1.7821715236368851,-0.009,0.379,0.006,1.784,-0.645,2.017
2023-03-11 01:30:00,x,0.1,0.6,0.55,1.7740641876371588,-0.009,0.373,0.006,1.837,-0.72,2.014
2023-03-11 01:30:00,x,0.1,0.6,0.6,1.7687268746915723,-0.009,0.37,0.006,1.857,-0.751,2.001
2023-03-11 01:30:00,x,0.1,0.6,0.65,1.7605355662208575,-0.009,0.367,0.006,1.882,-0.789,1.987
2023-03-11 01:30:00,x,0.1,0.6,0.7,1.7534298415754228,-0.009,0.366,0.006,1.888,-0.799,1.953
2023-03-11 01:30:00,x,0.1,0.6,0.75,1.7467976123495277,-0.009,0.369,0.005,1.866,-0.764,1.921
2023-03-11 01:30:00,x,0.1,0.6,0.8,1.7403626894942439,-0.009,0.373,0.005,1.837,-0.72,1.992
2023-03-11 01:30:00,x,0.1,0.6,0.85,1.7310405152945738,-0.009,0.379,0.006,1.788,-0.648,2.07
2023-03-11 01:30:00,x,0.1,0.6,0.9,1.7274273821239532,-0.009,0.381,0.006,1.769,-0.621,2.059
2023-03-11 01:30:00,x,0.1,0.6,0.95,1.7268819956076416,-0.009,0.381,0.006,1.766,-0.616,2.016
2023-03-11 01:30:00,x,0.15,0.6,0.0,1.8037915847706087,-0.015,0.413,0.0,1.35,-0.156,2.081
2023-03-11 01:30:00,x,0.15,0.6,0.05,1.806471667609058,-0.008,0.414,0.0,1.329,-0.14,2.046
2023-03-11 01:30:00,x,0.15,0.6,0.1,1.8076297237059449,-0.006,0.414,0.0,1.315,-0.129,2.06
2023-03-11 01:30:00,x,0.15,0.6,0.15,1.808062355296088,-0.005,0.415,0.0,1.279,-0.102,2.042
2023-03-11 01:30:00,x,0.15,0.6,0.2,1.8065598154991136,-0.005,0.415,0.001,1.273,-0.102,2.012
2023-03-11 01:30:00,x,0.15,0.6,0.25,1.802007049253181,-0.006,0.408,0.005,1.385,-0.217,1.944
2023-03-11 01:30:00,x,0.15,0.6,0.3,1.7963592139841953,-0.007,0.399,0.005,1.564,-0.376,1.987
2023-03-11 01:30:00,x,0.15,0.6,0.35,1.793231447056521,-0.007,0.393,0.005,1.636,-0.455,1.992
2023-03-11 01:30:00,x,0.15,0.6,0.4,1.7908830510120988,-0.008,0.39,0.006,1.684,-0.51,2.004
2023-03-11 01:30:00,x,0.15,0.6,0.45,1.7856287545460097,-0.008,0.383,0.006,1.745,-0.591,2.015
2023-03-11 01:30:00,x,0.15,0.6,0.5,1.782049590239568,-0.009,0.379,0.006,1.782,-0.642,2.023
2023-03-11 01:30:00,x,0.15,0.6,0.55,1.7753774027007567,-0.009,0.374,0.006,1.829,-0.709,2.023
2023-03-11 01:30:00,x,0.15,0.6,0.6,1.7669850842496408,-0.009,0.37,0.006,1.861,-0.756,1.997
2023-03-11 01:30:00,x,0.15,0.6,0.65,1.7605506417027357,-0.009,0.367,0.006,1.879,-0.785,1.992
2023-03-11 01:30:00,x,0.15,0.6,0.7,1.7549061375027766,-0.009,0.367,0.006,1.88,-0.786,1.983
2023-03-11 01:30:00,x,0.15,0.6,0.75,1.747295255267241,-0.009,0.368,0.005,1.868,-0.767,1.945
2023-03-11 01:30:00,x,0.15,0.6,0.8,1.739572344450092,-0.009,0.373,0.005,1.83,-0.71,1.975
2023-03-11 01:30:00,x,0.15,0.6,0.85,1.73016834043107,-0.009,0.379,0.006,1.783,-0.642,2.058
2023-03-11 01:30:00,x,0.15,0.6,0.9,1.7264500847489277,-0.009,0.382,0.006,1.764,-0.615,2.074
