Time,plot,x_(m),y_(m),z_(m),log_res25,del_log_res25,swc,del_swc,pF,logK_cmd,cov
2024-02-11 01:30:00,x,0.05,0.6,0.0,1.9245222162085867,-0.009,0.359,0.006,1.93,-0.87,1.99
2024-02-11 01:30:00,x,0.05,0.6,0.05,1.9264247695302525,-0.009,0.358,0.006,1.938,-0.884,2.002
2024-02-11 01:30:00,x,0.05,0.6,0.1,1.9312391427526208,-0.009,0.351,0.006,1.984,-0.96,2.003
2024-02-11 01:30:00,x,0.05,0.6,0.15,1.9403570815606535,-0.01,0.337,0.006,2.067,-1.112,2.007
2024-02-11 01:30:00,x,0.05,0.6,0.2,1.9535712472423774,-0.009,0.317,0.005,2.185,-1.331,1.933
2024-02-11 01:30:00,x,0.05,0.6,0.25,1.9622840786578895,-0.009,0.305,0.005,2.25,-1.466,1.913
2024-02-11 01:30:00,x,0.05,0.6,0.3,1.9724666685184122,-0.008,0.289,0.004,2.341,-1.653,1.945
2024-02-11 01:30:00,x,0.05,0.6,0.35,1.9737926467114173,-0.007,0.28,0.004,2.391,-1.757,1.988
2024-02-11 01:30:00,x,0.05,0.6,0.4,1.9705978947009386,-0.006,0.275,0.003,2.415,-1.808,1.99
2024-02-11 01:30:00,x,0.05,0.6,0.45,1.962606072924127,-0.006,0.272,0.003,2.432,-1.846,1.992
2024-02-11 01:30:00,x,0.05,0.6,0.5,1.9531215493603453,-0.005,0.273,0.003,2.427,-1.833,1.998
2024-02-11 01:30:00,x,0.05,0.6,0.55,1.9320372214534727,-0.005,0.28,0.002,2.389,-1.752,1.985
2024-02-11 01:30:00,x,0.05,0.6,0.6,1.912168896059627,-0.005,0.287,0.002,2.347,-1.664,1.962
2024-02-11 01:30:00,x,0.05,0.6,0.65,1.8737273806466794,-0.004,0.302,0.002,2.268,-1.497,1.929
2024-02-11 01:30:00,x,0.05,0.6,0.7,1.841033940514008,-0.004,0.316,0.002,2.188,-1.342,1.902
2024-02-11 01:30:00,x,0.05,0.6,0.75,1.8132673293895836,-0.004,0.331,0.002,2.104,-1.181,1.884
2024-02-11 01:30:00,x,0.05,0.6,0.8,1.7784551501684562,-0.004,0.35,0.002,1.987,-0.97,1.921
2024-02-11 01:30:00,x,0.05,0.6,0.85,1.737001702063322,-0.004,0.375,0.003,1.784,-0.671,1.937
2024-02-11 01:30:00,x,0.05,0.6,0.9,1.713943921487289,-0.004,0.39,0.003,1.657,-0.493,1.953
2024-02-11 01:30:00,x,0.05,0.6,0.95,1.7016284194467397,-0.004,0.398,0.003,1.55,-0.375,1.969
2024-02-11 01:30:00,x,0.1,0.6,0.0,1.9252347162317125,-0.009,0.359,0.006,1.933,-0.876,1.994
2024-02-11 01:30:00,x,0.1,0.6,0.05,1.927396029803128,-0.009,0.355,0.006,1.957,-0.914,2.029
2024-02-11 01:30:00,x,0.1,0.6,0.1,1.929842794588423,-0.009,0.352,0.006,1.98,-0.952,2.082
2024-02-11 01:30:00,x,0.1,0.6,0.15,1.9377836029517477,-0.01,0.341,0.006,2.04,-1.066,2.118
2024-02-11 01:30:00,x,0.1,0.6,0.2,1.9487209708613331,-0.009,0.322,0.006,2.155,-1.277,2.013
2024-02-11 01:30:00,x,0.1,0.6,0.25,1.962714928742047,-0.009,0.303,0.005,2.26,-1.487,1.914
2024-02-11 01:30:00,x,0.1,0.6,0.3,1.971693238949861,-0.008,0.287,0.004,2.35,-1.669,1.967
2024-02-11 01:30:00,x,0.1,0.6,0.35,1.9728181929065762,-0.007,0.281,0.004,2.386,-1.746,1.984
2024-02-11 01:30:00,x,0.1,0.6,0.4,1.9718137436999963,-0.006,0.275,0.003,2.413,-1.804,1.982
2024-02-11 01:30:00,x,0.1,0.6,0.45,1.9621372078919355,-0.006,0.273,0.003,2.428,-1.838,1.992
2024-02-11 01:30:00,x,0.1,0.6,0.5,1.9570610829686266,-0.005,0.273,0.003,2.43,-1.842,1.992
2024-02-11 01:30:00,x,0.1,0.6,0.55,1.9323570577230194,-0.005,0.28,0.002,2.392,-1.759,1.985
2024-02-11 01:30:00,x,0.1,0.6,0.6,1.9096790262693122,-0.004,0.288,0.002,2.341,-1.65,1.959
2024-02-11 01:30:00,x,0.1,0.6,0.65,1.876621916034273,-0.004,0.301,0.002,2.275,-1.512,1.932
2024-02-11 01:30:00,x,0.1,0.6,0.7,1.8433449200125067,-0.004,0.315,0.002,2.197,-1.356,1.903
2024-02-11 01:30:00,x,0.1,0.6,0.75,1.810655849567557,-0.004,0.332,0.002,2.099,-1.168,1.879
2024-02-11 01:30:00,x,0.1,0.6,0.8,1.7762579484636767,-0.004,0.352,0.002,1.98,-0.956,1.949
2024-02-11 01:30:00,x,0.1,0.6,0.85,1.7245380060094737,-0.004,0.383,0.003,1.708,-0.569,2.045
2024-02-11 01:30:00,x,0.1,0.6,0.9,1.7090154169721172,-0.004,0.393,0.003,1.621,-0.451,2.042
2024-02-11 01:30:00,x,0.1,0.6,0.95,1.7062909572587635,-0.004,0.395,0.003,1.597,-0.424,1.996
2024-02-11 01:30:00,x,0.15,0.6,0.0,1.9156266855872806,-0.009,0.365,0.006,1.891,-0.807,2.102
2024-02-11 01:30:00,x,0.15,0.6,0.05,1.9223257439376054,-0.009,0.358,0.006,1.937,-0.88,2.068
2024-02-11 01:30:00,x,0.15,0.6,0.1,1.9259718003239743,-0.009,0.354,0.006,1.962,-0.922,2.085
2024-02-11 01:30:00,x,0.15,0.6,0.15,1.9329200063026022,-0.01,0.344,0.006,2.026,-1.037,2.058
2024-02-11 01:30:00,x,0.15,0.6,0.2,1.9403122388186733,-0.009,0.333,0.006,2.09,-1.158,2.025
2024-02-11 01:30:00,x,0.15,0.6,0.25,1.9619523644150754,-0.009,0.303,0.005,2.265,-1.499,1.939
2024-02-11 01:30:00,x,0.15,0.6,0.3,1.9702771231209835,-0.008,0.288,0.004,2.347,-1.665,1.975
2024-02-11 01:30:00,x,0.15,0.6,0.35,1.9715216937515954,-0.007,0.281,0.004,2.383,-1.739,1.977
2024-02-11 01:30:00,x,0.15,0.6,0.4,1.9714799562935459,-0.007,0.277,0.003,2.405,-1.786,1.988
2024-02-11 01:30:00,x,0.15,0.6,0.45,1.963509223061453,-0.006,0.273,0.003,2.426,-1.832,1.989
2024-02-11 01:30:00,x,0.15,0.6,0.5,1.9570754655649651,-0.005,0.273,0.003,2.43,-1.841,1.996
2024-02-11 01:30:00,x,0.15,0.6,0.55,1.9366494383031196,-0.005,0.278,0.002,2.401,-1.779,1.994
2024-02-11 01:30:00,x,0.15,0.6,0.6,1.9038764332385871,-0.005,0.291,0.002,2.333,-1.637,1.95
