Time,plot,x_(m),y_(m),z_(m),log_res25,del_log_res25,swc,del_swc,pF,logK_cmd,cov
2021-07-21 16:30:00,x,0.05,0.6,0.0,2.48410899263124,0.003,0.125,-0.001,3.555,-4.36,1.586
2021-07-21 16:30:00,x,0.05,0.6,0.05,2.4837013823394596,0.004,0.126,-0.001,3.554,-4.359,1.598
2021-07-21 16:30:00,x,0.05,0.6,0.1,2.473405212819993,0.005,0.127,-0.001,3.543,-4.334,1.596
2021-07-21 16:30:00,x,0.05,0.6,0.15,2.4678492311394624,0.009,0.125,-0.002,3.562,-4.374,1.607
2021-07-21 16:30:00,x,0.05,0.6,0.2,2.4424154824519357,0.016,0.126,-0.004,3.55,-4.347,1.553
2021-07-21 16:30:00,x,0.05,0.6,0.25,2.423232762962093,0.021,0.128,-0.005,3.533,-4.311,1.532
2021-07-21 16:30:00,x,0.05,0.6,0.3,2.384358791254221,0.029,0.133,-0.007,3.476,-4.185,1.591
2021-07-21 16:30:00,x,0.05,0.6,0.35,2.338281146677121,0.035,0.141,-0.01,3.393,-4.004,1.634
2021-07-21 16:30:00,x,0.05,0.6,0.4,2.309161557904644,0.04,0.146,-0.011,3.343,-3.893,1.64
2021-07-21 16:30:00,x,0.05,0.6,0.45,2.273336996666288,0.044,0.152,-0.013,3.282,-3.76,1.637
2021-07-21 16:30:00,x,0.05,0.6,0.5,2.2509442549369285,0.046,0.157,-0.014,3.235,-3.655,1.654
2021-07-21 16:30:00,x,0.05,0.6,0.55,2.212664267340962,0.049,0.168,-0.016,3.138,-3.437,1.649
2021-07-21 16:30:00,x,0.05,0.6,0.6,2.185530822821813,0.05,0.178,-0.016,3.06,-3.262,1.633
2021-07-21 16:30:00,x,0.05,0.6,0.65,2.142511476966776,0.05,0.192,-0.017,2.945,-2.999,1.615
2021-07-21 16:30:00,x,0.05,0.6,0.7,2.110535840976195,0.052,0.203,-0.018,2.867,-2.822,1.601
2021-07-21 16:30:00,x,0.05,0.6,0.75,2.087579125724244,0.054,0.211,-0.019,2.813,-2.698,1.597
2021-07-21 16:30:00,x,0.05,0.6,0.8,2.0616220922437734,0.055,0.22,-0.021,2.75,-2.556,1.668
2021-07-21 16:30:00,x,0.05,0.6,0.85,2.034054632540655,0.058,0.23,-0.023,2.686,-2.41,1.696
2021-07-21 16:30:00,x,0.05,0.6,0.9,2.0231824728934686,0.058,0.234,-0.023,2.657,-2.346,1.712
2021-07-21 16:30:00,x,0.05,0.6,0.95,2.0150662140111493,0.06,0.237,-0.025,2.64,-2.306,1.736
2021-07-21 16:30:00,x,0.1,0.6,0.0,2.48139102609237,0.004,0.126,-0.001,3.548,-4.345,1.597
2021-07-21 16:30:00,x,0.1,0.6,0.05,2.4742526966488954,0.004,0.127,-0.001,3.535,-4.317,1.624
2021-07-21 16:30:00,x,0.1,0.6,0.1,2.4704986934909217,0.005,0.127,-0.001,3.536,-4.319,1.673
2021-07-21 16:30:00,x,0.1,0.6,0.15,2.470910068538368,0.008,0.125,-0.002,3.564,-4.378,1.714
2021-07-21 16:30:00,x,0.1,0.6,0.2,2.4448563865035426,0.014,0.127,-0.003,3.547,-4.343,1.64
2021-07-21 16:30:00,x,0.1,0.6,0.25,2.418423937327273,0.022,0.128,-0.005,3.528,-4.301,1.53
2021-07-21 16:30:00,x,0.1,0.6,0.3,2.371682831183714,0.03,0.135,-0.008,3.45,-4.13,1.611
2021-07-21 16:30:00,x,0.1,0.6,0.35,2.340791015226375,0.034,0.141,-0.009,3.398,-4.015,1.624
2021-07-21 16:30:00,x,0.1,0.6,0.4,2.3126173540041837,0.038,0.145,-0.011,3.352,-3.913,1.623
2021-07-21 16:30:00,x,0.1,0.6,0.45,2.275516357655703,0.043,0.152,-0.013,3.285,-3.767,1.63
2021-07-21 16:30:00,x,0.1,0.6,0.5,2.2604387125466623,0.045,0.155,-0.013,3.257,-3.703,1.637
2021-07-21 16:30:00,x,0.1,0.6,0.55,2.2130048007575973,0.049,0.168,-0.015,3.136,-3.432,1.64
2021-07-21 16:30:00,x,0.1,0.6,0.6,2.182888066349008,0.049,0.178,-0.016,3.057,-3.252,1.624
