Time,plot,x_(m),y_(m),z_(m),log_res25,del_log_res25,swc,del_swc,pF,logK_cmd,cov
2023-12-11 01:30:00,x,0.05,0.6,0.0,2.242357534727428,0.007,0.197,-0.002,2.897,-2.891,1.175
2023-12-11 01:30:00,x,0.05,0.6,0.05,2.2436084609593565,0.006,0.197,-0.002,2.9,-2.899,1.203
2023-12-11 01:30:00,x,0.05,0.6,0.1,2.253691694938387,0.005,0.191,-0.002,2.94,-2.99,1.226
2023-12-11 01:30:00,x,0.05,0.6,0.15,2.257025442563464,0.004,0.186,-0.001,2.986,-3.094,1.249
2023-12-11 01:30:00,x,0.05,0.6,0.2,2.2598517990055176,0.003,0.178,-0.001,3.05,-3.24,1.187
2023-12-11 01:30:00,x,0.05,0.6,0.25,2.2626076922890728,0.003,0.173,-0.001,3.088,-3.327,1.095
2023-12-11 01:30:00,x,0.05,0.6,0.3,2.2667936102705113,0.003,0.166,-0.001,3.148,-3.463,1.032
2023-12-11 01:30:00,x,0.05,0.6,0.35,2.272479805743048,0.002,0.159,-0.001,3.209,-3.599,0.939
2023-12-11 01:30:00,x,0.05,0.6,0.4,2.2760295925476917,0.002,0.154,-0.001,3.252,-3.696,0.859
2023-12-11 01:30:00,x,0.05,0.6,0.45,2.280589751101608,0.001,0.149,-0.001,3.305,-3.814,0.754
2023-12-11 01:30:00,x,0.05,0.6,0.5,2.283389435811955,0.001,0.147,-0.0,3.325,-3.86,0.691
2023-12-11 01:30:00,x,0.05,0.6,0.55,2.2874232363488094,0.001,0.146,-0.0,3.333,-3.878,0.595
2023-12-11 01:30:00,x,0.05,0.6,0.6,2.2904508890669715,0.001,0.147,-0.0,3.328,-3.865,0.505
2023-12-11 01:30:00,x,0.05,0.6,0.65,2.295063246095244,0.001,0.147,-0.0,3.321,-3.85,0.38
2023-12-11 01:30:00,x,0.05,0.6,0.7,2.2974759933242117,0.001,0.147,-0.0,3.32,-3.848,0.298
2023-12-11 01:30:00,x,0.05,0.6,0.75,2.2991017969886873,0.001,0.147,-0.0,3.322,-3.852,0.228
2023-12-11 01:30:00,x,0.05,0.6,0.8,2.300732402006409,0.001,0.147,-0.0,3.326,-3.86,0.09
2023-12-11 01:30:00,x,0.05,0.6,0.85,2.302432670707357,0.001,0.147,-0.0,3.328,-3.866,0.009
2023-12-11 01:30:00,x,0.05,0.6,0.9,2.3033451180023565,0.001,0.146,-0.0,3.33,-3.87,-0.084
2023-12-11 01:30:00,x,0.05,0.6,0.95,2.3035912799717813,0.001,0.146,-0.0,3.33,-3.87,-0.225
2023-12-11 01:30:00,x,0.1,0.6,0.0,2.242461916309531,0.007,0.197,-0.003,2.898,-2.893,1.177
2023-12-11 01:30:00,x,0.1,0.6,0.05,2.250402922976583,0.005,0.193,-0.002,2.927,-2.958,1.237
2023-12-11 01:30:00,x,0.1,0.6,0.1,2.2538660112193787,0.005,0.191,-0.002,2.942,-2.994,1.306
2023-12-11 01:30:00,x,0.1,0.6,0.15,2.256173936363861,0.004,0.187,-0.002,2.973,-3.065,1.352
2023-12-11 01:30:00,x,0.1,0.6,0.2,2.25991386801651,0.004,0.179,-0.001,3.039,-3.216,1.242
2023-12-11 01:30:00,x,0.1,0.6,0.25,2.2633117058326024,0.003,0.172,-0.001,3.099,-3.351,1.097
2023-12-11 01:30:00,x,0.1,0.6,0.3,2.2682127863891073,0.003,0.164,-0.001,3.167,-3.505,1.019
2023-12-11 01:30:00,x,0.1,0.6,0.35,2.272208395605392,0.002,0.159,-0.001,3.205,-3.591,0.951
2023-12-11 01:30:00,x,0.1,0.6,0.4,2.275748884479195,0.002,0.155,-0.001,3.246,-3.683,0.87
2023-12-11 01:30:00,x,0.1,0.6,0.45,2.2806102356704465,0.001,0.149,-0.001,3.301,-3.806,0.765
2023-12-11 01:30:00,x,0.1,0.6,0.5,2.2824272370004772,0.001,0.147,-0.001,3.32,-3.849,0.718
2023-12-11 01:30:00,x,0.1,0.6,0.55,2.287380663181422,0.001,0.146,-0.0,3.335,-3.882,0.604
2023-12-11 01:30:00,x,0.1,0.6,0.6,2.2911067736982687,0.001,0.146,-0.0,3.33,-3.87,0.508
2023-12-11 01:30:00,x,0.1,0.6,0.65,2.294860659744327,0.001,0.147,-0.0,3.321,-3.851,0.392
2023-12-11 01:30:00,x,0.1,0.6,0.7,2.297567934835208,0.001,0.147,-0.0,3.32,-3.848,0.309
2023-12-11 01:30:00,x,0.1,0.6,0.75,2.2993743532993953,0.001,0.147,-0.0,3.324,-3.857,0.227
2023-12-11 01:30:00,x,0.1,0.6,0.8,2.3009952507156126,0.001,0.147,-0.0,3.326,-3.86,0.115
2023-12-11 01:30:00,x,0.1,0.6,0.85,2.303031815518945,0.001,0.146,-0.0,3.329,-3.868,-0.005
2023-12-11 01:30:00,x,0.1,0.6,0.9,2.303599914700651,0.001,0.146,-0.0,3.33,-3.87,-0.137
2023-12-11 01:30:00,x,0.1,0.6,0.95,2.303664669695538,0.001,0.146,-0.0,3.33,-3.87,-0.15
2023-12-11 01:30:00,x,0.15,0.6,0.0,2.2453004038736006,0.007,0.196,-0.003,2.904,-2.908,1.249
2023-12-11 01:30:00,x,0.15,0.6,0.05,2.2529112565043343,0.006,0.192,-0.002,2.934,-2.976,1.248
2023-12-11 01:30:00,x,0.15,0.6,0.1,2.2546544021960484,0.005,0.191,-0.002,2.944,-2.999,1.286
2023-12-11 01:30:00,x,0.15,0.6,0.15,2.257916052215323,0.005,0.186,-0.002,2.978,-3.077,1.263
2023-12-11 01:30:00,x,0.15,0.6,0.2,2.2595102607878723,0.004,0.182,-0.001,3.016,-3.162,1.236
2023-12-11 01:30:00,x,0.15,0.6,0.25,2.264045319545717,0.003,0.171,-0.001,3.11,-3.377,1.093
2023-12-11 01:30:00,x,0.15,0.6,0.3,2.2687557715848743,0.002,0.164,-0.001,3.17,-3.513,1.031
2023-12-11 01:30:00,x,0.15,0.6,0.35,2.2721921520132065,0.002,0.159,-0.001,3.208,-3.597,0.939
2023-12-11 01:30:00,x,0.15,0.6,0.4,2.2748088028932747,0.002,0.156,-0.001,3.234,-3.656,0.901
2023-12-11 01:30:00,x,0.15,0.6,0.45,2.2801525166366976,0.001,0.15,-0.001,3.294,-3.791,0.774
2023-12-11 01:30:00,x,0.15,0.6,0.5,2.2825835978359392,0.001,0.147,-0.001,3.32,-3.849,0.72
2023-12-11 01:30:00,x,0.15,0.6,0.55,2.2866158764151554,0.001,0.146,-0.0,3.336,-3.883,0.64
2023-12-11 01:30:00,x,0.15,0.6,0.6,2.291588606467447,0.002,0.147,-0.0,3.327,-3.864,0.5
2023-12-11 01:30:00,x,0.15,0.6,0.65,2.294785766953519,0.001,0.147,-0.0,3.32,-3.847,0.406
2023-12-11 01:30:00,x,0.15,0.6,0.7,2.2970401008986925,0.001,0.147,-0.0,3.32,-3.849,0.319
2023-12-11 01:30:00,x,0.15,0.6,0.75,2.299232645365296,0.001,0.147,-0.0,3.324,-3.857,0.231
2023-12-11 01:30:00,x,0.15,0.6,0.8,2.3012514293889503,0.001,0.147,-0.0,3.327,-3.864,0.116
2023-12-11 01:30:00,x,0.15,0.6,0.85,2.303263032996828,0.001,0.146,-0.0,3.329,-3.868,-0.012
2023-12-11 01:30:00,x,0.15,0.6,0.9,2.3039084935359546,0.001,0.146,-0.0,3.33,-3.87,-0.094
2023-12-11 01:30:00,x,0.15,0.6,0.95,2.303949477024849,0.001,0.146,-0.0,3.33,-3.87,-0.153
2023-12-11 01:30:00,x,0.2,0.6,0.0,2.248319092036801,0.006,0.195,-0.002,2.912,-2.926,1.293
2023-12-11 01:30:00,x,0.2,0.6,0.05,2.250885765082204,0.006,0.194,-0.002,2.922,-2.948,1.362
2023-12-11 01:30:00,x,0.2,0.6,0.1,2.255282155984561,0.005,0.191,-0.002,2.941,-2.991,1.36
