Time,plot,x_(m),y_(m),z_(m),log_res25,del_log_res25,swc,del_swc,pF,logK_cmd,cov
2024-04-26 00:30:00,x,0.05,0.6,0.0,1.9675292562256739,0.023,0.332,-0.014,2.072,-1.158,1.943
2024-04-26 00:30:00,x,0.05,0.6,0.05,1.9643020673235934,0.023,0.333,-0.013,2.06,-1.139,1.946
2024-04-26 00:30:00,x,0.05,0.6,0.1,1.9488089322068747,0.02,0.34,-0.012,2.027,-1.071,1.943
2024-04-26 00:30:00,x,0.05,0.6,0.15,1.921847680638257,0.017,0.349,-0.01,1.952,-0.958,1.953
2024-04-26 00:30:00,x,0.05,0.6,0.2,1.855525212731306,0.013,0.379,-0.008,1.729,-0.614,1.924
2024-04-26 00:30:00,x,0.05,0.6,0.25,1.8075214984349979,0.009,0.395,-0.004,1.424,-0.352,1.901
2024-04-26 00:30:00,x,0.05,0.6,0.3,1.7250618046339863,0.003,0.42,-0.001,0.853,0.082,1.955
2024-04-26 00:30:00,x,0.05,0.6,0.35,1.6460015971333053,-0.002,0.427,0.0,0.637,0.224,2.016
2024-04-26 00:30:00,x,0.05,0.6,0.4,1.5982760500182829,-0.005,0.427,0.0,0.63,0.226,2.032
2024-04-26 00:30:00,x,0.05,0.6,0.45,1.557218378253756,-0.009,0.427,0.0,0.63,0.226,2.023
2024-04-26 00:30:00,x,0.05,0.6,0.5,1.537781328693677,-0.01,0.426,0.0,0.644,0.221,2.033
2024-04-26 00:30:00,x,0.05,0.6,0.55,1.5164957104881367,-0.013,0.425,0.0,0.743,0.186,2.027
2024-04-26 00:30:00,x,0.05,0.6,0.6,1.5067349717157967,-0.014,0.423,0.0,0.893,0.124,2.014
2024-04-26 00:30:00,x,0.05,0.6,0.65,1.50797724139145,-0.015,0.421,0.0,1.05,0.048,1.993
2024-04-26 00:30:00,x,0.05,0.6,0.7,1.5225224777155042,-0.015,0.419,0.0,1.119,0.008,1.948
2024-04-26 00:30:00,x,0.05,0.6,0.75,1.5389631173252687,-0.015,0.419,0.0,1.13,0.002,1.915
2024-04-26 00:30:00,x,0.05,0.6,0.8,1.5607194183808957,-0.015,0.419,0.0,1.13,0.002,1.94
2024-04-26 00:30:00,x,0.05,0.6,0.85,1.5984184075446082,-0.014,0.418,0.001,1.162,-0.023,1.918
2024-04-26 00:30:00,x,0.05,0.6,0.9,1.6151501294530184,-0.013,0.418,0.003,1.166,-0.026,1.911
2024-04-26 00:30:00,x,0.05,0.6,0.95,1.6259192158677298,-0.013,0.414,0.003,1.253,-0.096,1.911
2024-04-26 00:30:00,x,0.1,0.6,0.0,1.961003210960297,0.023,0.335,-0.014,2.048,-1.121,1.953
2024-04-26 00:30:00,x,0.1,0.6,0.05,1.9545801627437573,0.021,0.338,-0.013,2.035,-1.092,1.974
2024-04-26 00:30:00,x,0.1,0.6,0.1,1.9477424219938062,0.02,0.34,-0.012,2.019,-1.06,2.017
2024-04-26 00:30:00,x,0.1,0.6,0.15,1.934190295856976,0.018,0.344,-0.01,1.974,-1.011,2.064
2024-04-26 00:30:00,x,0.1,0.6,0.2,1.8722961571649746,0.014,0.369,-0.008,1.784,-0.72,1.998
2024-04-26 00:30:00,x,0.1,0.6,0.25,1.7996368715570912,0.008,0.396,-0.004,1.367,-0.323,1.891
2024-04-26 00:30:00,x,0.1,0.6,0.3,1.7048537445662886,0.003,0.425,-0.0,0.714,0.177,1.991
2024-04-26 00:30:00,x,0.1,0.6,0.35,1.6527490190868435,-0.001,0.427,0.0,0.63,0.226,2.013
2024-04-26 00:30:00,x,0.1,0.6,0.4,1.605024765730024,-0.005,0.427,0.0,0.63,0.226,2.021
2024-04-26 00:30:00,x,0.1,0.6,0.45,1.5613637900342843,-0.008,0.427,0.0,0.63,0.226,2.021
2024-04-26 00:30:00,x,0.1,0.6,0.5,1.5449357658815026,-0.01,0.427,0.0,0.63,0.226,2.028
2024-04-26 00:30:00,x,0.1,0.6,0.55,1.5148796552227934,-0.013,0.425,0.0,0.757,0.181,2.027
2024-04-26 00:30:00,x,0.1,0.6,0.6,1.5047698042978395,-0.014,0.423,0.0,0.887,0.126,2.01
2024-04-26 00:30:00,x,0.1,0.6,0.65,1.5054348905970358,-0.015,0.421,0.0,1.041,0.053,1.997
2024-04-26 00:30:00,x,0.1,0.6,0.7,1.5191977440844067,-0.015,0.419,0.0,1.119,0.008,1.957
2024-04-26 00:30:00,x,0.1,0.6,0.75,1.5377939178517879,-0.015,0.419,0.0,1.13,0.002,1.916
2024-04-26 00:30:00,x,0.1,0.6,0.8,1.5621500592328819,-0.014,0.419,0.0,1.13,0.002,1.975
2024-04-26 00:30:00,x,0.1,0.6,0.85,1.6069936754750542,-0.013,0.418,0.002,1.16,-0.018,2.005
2024-04-26 00:30:00,x,0.1,0.6,0.9,1.615223868131828,-0.013,0.417,0.003,1.181,-0.039,1.986
2024-04-26 00:30:00,x,0.1,0.6,0.95,1.617052788978206,-0.013,0.417,0.003,1.177,-0.036,1.947
2024-04-26 00:30:00,x,0.15,0.6,0.0,1.9504281438031796,0.024,0.34,-0.014,2.009,-1.064,2.085
2024-04-26 00:30:00,x,0.15,0.6,0.05,1.9445764301557045,0.022,0.343,-0.013,1.994,-1.031,2.036
2024-04-26 00:30:00,x,0.15,0.6,0.1,1.9426032488421565,0.02,0.344,-0.012,1.987,-1.019,2.022
2024-04-26 00:30:00,x,0.15,0.6,0.15,1.9287081451765673,0.018,0.347,-0.011,1.949,-0.977,2.004
2024-04-26 00:30:00,x,0.15,0.6,0.2,1.8936785559111415,0.016,0.359,-0.009,1.853,-0.834,1.981
2024-04-26 00:30:00,x,0.15,0.6,0.25,1.791164125033335,0.008,0.395,-0.004,1.323,-0.318,1.923
2024-04-26 00:30:00,x,0.15,0.6,0.3,1.7013175243799021,0.003,0.426,-0.0,0.683,0.198,1.996
2024-04-26 00:30:00,x,0.15,0.6,0.35,1.6535405234847118,-0.001,0.427,0.0,0.63,0.226,2.014
2024-04-26 00:30:00,x,0.15,0.6,0.4,1.6209060624031308,-0.003,0.427,0.0,0.63,0.226,2.026
2024-04-26 00:30:00,x,0.15,0.6,0.45,1.5737416415203171,-0.007,0.427,0.0,0.63,0.226,2.017
2024-04-26 00:30:00,x,0.15,0.6,0.5,1.5463575553634141,-0.009,0.427,0.0,0.63,0.226,2.031
2024-04-26 00:30:00,x,0.15,0.6,0.55,1.517684039800974,-0.012,0.425,0.0,0.739,0.186,2.035
2024-04-26 00:30:00,x,0.15,0.6,0.6,1.5032730332887871,-0.014,0.423,0.0,0.909,0.113,2.007
2024-04-26 00:30:00,x,0.15,0.6,0.65,1.5030276152470867,-0.015,0.421,0.0,1.037,0.056,2.004
2024-04-26 00:30:00,x,0.15,0.6,0.7,1.5134573283905723,-0.015,0.42,0.0,1.091,0.025,1.989
2024-04-26 00:30:00,x,0.15,0.6,0.75,1.5321298706718502,-0.015,0.419,0.0,1.13,0.002,1.939
2024-04-26 00:30:00,x,0.15,0.6,0.8,1.5612803142902891,-0.014,0.419,0.0,1.13,0.002,1.958
2024-04-26 00:30:00,x,0.15,0.6,0.85,1.6028735310261826,-0.013,0.418,0.002,1.167,-0.026,1.989
2024-04-26 00:30:00,x,0.15,0.6,0.9,1.6153713079398944,-0.013,0.417,0.002,1.19,-0.045,2.004
2024-04-26 00:30:00,x,0.15,0.6,0.95,1.610904916979057,-0.012,0.416,0.002,1.196,-0.052,2.029
2024-04-26 00:30:00,x,0.2,0.6,0.0,1.9482221864400457,0.025,0.339,-0.014,2.012,-1.078,2.104
2024-04-26 00:30:00,x,0.2,0.6,0.05,1.9477032341408236,0.024,0.341,-0.013,1.996,-1.055,2.12
2024-04-26 00:30:00,x,0.2,0.6,0.1,1.9379138922995214,0.023,0.343,-0.011,1.976,-1.027,2.083
2024-04-26 00:30:00,x,0.2,0.6,0.15,1.9292145037373938,0.021,0.343,-0.012,1.97,-1.022,2.022
2024-04-26 00:30:00,x,0.2,0.6,0.2,1.8800357375511858,0.016,0.357,-0.008,1.773,-0.813,1.988
2024-04-26 00:30:00,x,0.2,0.6,0.25,1.784167789937681,0.009,0.394,-0.003,1.18,-0.269,1.973
2024-04-26 00:30:00,x,0.2,0.6,0.3,1.6968192729041436,0.003,0.426,-0.0,0.676,0.2,2.005
2024-04-26 00:30:00,x,0.2,0.6,0.35,1.6593170878437222,0.001,0.427,0.0,0.63,0.226,2.017
2024-04-26 00:30:00,x,0.2,0.6,0.4,1.6336704060514438,-0.002,0.427,0.0,0.63,0.226,2.039
2024-04-26 00:30:00,x,0.2,0.6,0.45,1.586305934735186,-0.005,0.427,0.0,0.63,0.226,2.022
2024-04-26 00:30:00,x,0.2,0.6,0.5,1.5512181497169604,-0.008,0.427,0.0,0.658,0.216,2.032
2024-04-26 00:30:00,x,0.2,0.6,0.55,1.5232000043457465,-0.011,0.425,0.0,0.753,0.18,2.044
2024-04-26 00:30:00,x,0.2,0.6,0.6,1.5047562204972065,-0.013,0.423,0.0,0.943,0.101,2.014
2024-04-26 00:30:00,x,0.2,0.6,0.65,1.5011688495213618,-0.013,0.421,0.0,1.02,0.064,2.012
2024-04-26 00:30:00,x,0.2,0.6,0.7,1.5082064027591433,-0.014,0.42,0.0,1.082,0.029,1.991
2024-04-26 00:30:00,x,0.2,0.6,0.75,1.521830832336042,-0.014,0.419,0.0,1.119,0.008,1.951
2024-04-26 00:30:00,x,0.2,0.6,0.8,1.5722324637747456,-0.013,0.419,0.001,1.143,-0.007,1.938
2024-04-26 00:30:00,x,0.2,0.6,0.85,1.5919434419444203,-0.012,0.418,0.002,1.171,-0.028,2.002
