Time,plot,x_(m),y_(m),z_(m),log_res25,del_log_res25,swc,del_swc,pF,logK_cmd,cov
2022-03-26 06:30:00,x,0.05,0.6,0.0,2.18572909071455,0.018,0.22,-0.008,2.744,-2.542,1.91
2022-03-26 06:30:00,x,0.05,0.6,0.05,2.187641967953542,0.017,0.22,-0.007,2.75,-2.556,1.92
2022-03-26 06:30:00,x,0.05,0.6,0.1,2.1917164286855484,0.01,0.216,-0.004,2.775,-2.613,1.911
2022-03-26 06:30:00,x,0.05,0.6,0.15,2.1968087822491373,0.008,0.208,-0.003,2.826,-2.729,1.908
2022-03-26 06:30:00,x,0.05,0.6,0.2,2.1891280166109595,0.008,0.203,-0.003,2.855,-2.794,1.84
2022-03-26 06:30:00,x,0.05,0.6,0.25,2.1787755720454105,0.008,0.203,-0.003,2.861,-2.809,1.814
2022-03-26 06:30:00,x,0.05,0.6,0.3,2.15213233736197,0.007,0.207,-0.003,2.84,-2.762,1.855
2022-03-26 06:30:00,x,0.05,0.6,0.35,2.1203402705701566,0.007,0.213,-0.003,2.796,-2.661,1.893
2022-03-26 06:30:00,x,0.05,0.6,0.4,2.095667893375394,0.008,0.219,-0.003,2.76,-2.58,1.893
2022-03-26 06:30:00,x,0.05,0.6,0.45,2.0670038645833912,0.009,0.225,-0.003,2.721,-2.491,1.882
2022-03-26 06:30:00,x,0.05,0.6,0.5,2.0487252843308705,0.009,0.23,-0.004,2.69,-2.421,1.888
2022-03-26 06:30:00,x,0.05,0.6,0.55,2.0105077236293423,0.009,0.245,-0.004,2.602,-2.227,1.872
2022-03-26 06:30:00,x,0.05,0.6,0.6,1.9792022579870416,0.009,0.258,-0.004,2.527,-2.063,1.842
2022-03-26 06:30:00,x,0.05,0.6,0.65,1.9276218319423295,0.01,0.279,-0.004,2.403,-1.797,1.801
2022-03-26 06:30:00,x,0.05,0.6,0.7,1.8802703846028392,0.008,0.3,-0.003,2.28,-1.548,1.768
2022-03-26 06:30:00,x,0.05,0.6,0.75,1.8432826225238534,0.007,0.318,-0.003,2.17,-1.338,1.743
2022-03-26 06:30:00,x,0.05,0.6,0.8,1.7985125330313514,0.007,0.342,-0.003,2.019,-1.064,1.786
2022-03-26 06:30:00,x,0.05,0.6,0.85,1.7415455167762095,0.004,0.374,-0.002,1.76,-0.673,1.824
2022-03-26 06:30:00,x,0.05,0.6,0.9,1.713927138132432,0.003,0.391,-0.001,1.581,-0.445,1.865
2022-03-26 06:30:00,x,0.05,0.6,0.95,1.6931639354182484,0.002,0.401,-0.002,1.403,-0.274,1.909
2022-03-26 06:30:00,x,0.1,0.6,0.0,2.185304120054279,0.019,0.221,-0.008,2.743,-2.539,1.918
2022-03-26 06:30:00,x,0.1,0.6,0.05,2.1887907245058797,0.013,0.218,-0.006,2.758,-2.575,1.943
2022-03-26 06:30:00,x,0.1,0.6,0.1,2.191593520159108,0.011,0.215,-0.004,2.776,-2.614,1.988
2022-03-26 06:30:00,x,0.1,0.6,0.15,2.19802442553312,0.008,0.209,-0.003,2.818,-2.711,2.022
2022-03-26 06:30:00,x,0.1,0.6,0.2,2.190233620600687,0.008,0.205,-0.003,2.849,-2.782,1.922
2022-03-26 06:30:00,x,0.1,0.6,0.25,2.178173766904755,0.008,0.202,-0.003,2.868,-2.824,1.811
2022-03-26 06:30:00,x,0.1,0.6,0.3,2.1482292725250196,0.008,0.206,-0.003,2.841,-2.764,1.877
2022-03-26 06:30:00,x,0.1,0.6,0.35,2.1210080086851684,0.007,0.213,-0.003,2.794,-2.656,1.889
2022-03-26 06:30:00,x,0.1,0.6,0.4,2.098138196692408,0.008,0.218,-0.003,2.763,-2.585,1.881
2022-03-26 06:30:00,x,0.1,0.6,0.45,2.068575438420369,0.009,0.225,-0.003,2.72,-2.49,1.879
2022-03-26 06:30:00,x,0.1,0.6,0.5,2.0547968440145197,0.009,0.229,-0.003,2.699,-2.443,1.88
2022-03-26 06:30:00,x,0.1,0.6,0.55,2.0089449158084616,0.009,0.246,-0.004,2.598,-2.218,1.87
2022-03-26 06:30:00,x,0.1,0.6,0.6,1.9763224621136963,0.009,0.259,-0.004,2.52,-2.05,1.837
2022-03-26 06:30:00,x,0.1,0.6,0.65,1.9303631277391404,0.01,0.278,-0.004,2.409,-1.81,1.804
2022-03-26 06:30:00,x,0.1,0.6,0.7,1.8871670208947744,0.009,0.296,-0.004,2.303,-1.59,1.765
2022-03-26 06:30:00,x,0.1,0.6,0.75,1.8432639315345496,0.008,0.318,-0.004,2.175,-1.341,1.73
2022-03-26 06:30:00,x,0.1,0.6,0.8,1.798871533990639,0.007,0.342,-0.003,2.025,-1.07,1.81
2022-03-26 06:30:00,x,0.1,0.6,0.85,1.733750818262289,0.004,0.379,-0.002,1.678,-0.587,1.933
2022-03-26 06:30:00,x,0.1,0.6,0.9,1.7117903629085687,0.004,0.392,-0.002,1.585,-0.44,1.966
2022-03-26 06:30:00,x,0.1,0.6,0.95,1.7091427076227974,0.004,0.394,-0.002,1.554,-0.411,1.921
2022-03-26 06:30:00,x,0.15,0.6,0.0,2.179048844401504,0.02,0.223,-0.008,2.727,-2.502,2.031
