Time,plot,x_(m),y_(m),z_(m),log_res25,del_log_res25,swc,del_swc,pF,logK_cmd,cov
2023-02-26 01:30:00,x,0.05,0.6,0.0,1.8319657050282843,0.014,0.413,0.0,1.35,-0.156,1.969
2023-02-26 01:30:00,x,0.05,0.6,0.05,1.8328983257661293,0.012,0.413,-0.0,1.353,-0.158,1.98
2023-02-26 01:30:00,x,0.05,0.6,0.1,1.83646337149203,0.002,0.412,0.0,1.351,-0.159,1.984
2023-02-26 01:30:00,x,0.05,0.6,0.15,1.8394591919222578,-0.002,0.406,0.001,1.443,-0.259,1.992
2023-02-26 01:30:00,x,0.05,0.6,0.2,1.8413907585555782,-0.003,0.391,0.002,1.666,-0.489,1.931
2023-02-26 01:30:00,x,0.05,0.6,0.25,1.8427901579559833,-0.004,0.382,0.003,1.756,-0.61,1.915
2023-02-26 01:30:00,x,0.05,0.6,0.3,1.8426653947491318,-0.004,0.369,0.003,1.859,-0.757,1.948
2023-02-26 01:30:00,x,0.05,0.6,0.35,1.8395157558223563,-0.004,0.36,0.003,1.927,-0.862,1.995
2023-02-26 01:30:00,x,0.05,0.6,0.4,1.836855579548605,-0.004,0.354,0.003,1.964,-0.924,2.0
2023-02-26 01:30:00,x,0.05,0.6,0.45,1.8319081491224545,-0.005,0.348,0.003,2.002,-0.99,2.008
2023-02-26 01:30:00,x,0.05,0.6,0.5,1.828124753286006,-0.005,0.345,0.003,2.023,-1.026,2.014
2023-02-26 01:30:00,x,0.05,0.6,0.55,1.820227739748388,-0.005,0.343,0.003,2.037,-1.051,2.007
2023-02-26 01:30:00,x,0.05,0.6,0.6,1.8134408709732022,-0.005,0.342,0.003,2.042,-1.059,1.993
2023-02-26 01:30:00,x,0.05,0.6,0.65,1.8001945111596382,-0.004,0.342,0.003,2.042,-1.059,1.971
2023-02-26 01:30:00,x,0.05,0.6,0.7,1.7891574919114397,-0.005,0.345,0.003,2.027,-1.033,1.938
2023-02-26 01:30:00,x,0.05,0.6,0.75,1.7794160989470675,-0.005,0.35,0.003,1.996,-0.979,1.915
2023-02-26 01:30:00,x,0.05,0.6,0.8,1.767029642507057,-0.004,0.357,0.003,1.95,-0.9,1.952
2023-02-26 01:30:00,x,0.05,0.6,0.85,1.7529008265087962,-0.005,0.365,0.003,1.892,-0.805,1.962
2023-02-26 01:30:00,x,0.05,0.6,0.9,1.7445354943004343,-0.005,0.37,0.003,1.855,-0.747,1.972
2023-02-26 01:30:00,x,0.05,0.6,0.95,1.740165238032828,-0.005,0.373,0.003,1.837,-0.719,1.982
2023-02-26 01:30:00,x,0.1,0.6,0.0,1.8318697742805017,0.014,0.413,0.0,1.35,-0.156,1.972
2023-02-26 01:30:00,x,0.1,0.6,0.05,1.834261708811771,0.005,0.413,0.0,1.351,-0.158,2.008
2023-02-26 01:30:00,x,0.1,0.6,0.1,1.8356969115115775,0.002,0.413,0.0,1.349,-0.157,2.062
2023-02-26 01:30:00,x,0.1,0.6,0.15,1.8389434923204775,-0.001,0.407,0.001,1.421,-0.235,2.101
2023-02-26 01:30:00,x,0.1,0.6,0.2,1.8401500237576733,-0.003,0.395,0.002,1.613,-0.434,2.008
2023-02-26 01:30:00,x,0.1,0.6,0.25,1.8424282458667867,-0.004,0.38,0.003,1.771,-0.632,1.915
2023-02-26 01:30:00,x,0.1,0.6,0.3,1.84078336672336,-0.004,0.367,0.003,1.877,-0.783,1.974
2023-02-26 01:30:00,x,0.1,0.6,0.35,1.8389434923204775,-0.004,0.361,0.003,1.919,-0.85,1.992
2023-02-26 01:30:00,x,0.1,0.6,0.4,1.8369314498906648,-0.004,0.355,0.003,1.96,-0.917,1.994
2023-02-26 01:30:00,x,0.1,0.6,0.45,1.8317162409951755,-0.005,0.349,0.003,1.997,-0.982,2.008
2023-02-26 01:30:00,x,0.1,0.6,0.5,1.8294903185385223,-0.005,0.347,0.003,2.014,-1.011,2.01
2023-02-26 01:30:00,x,0.1,0.6,0.55,1.8199845866172142,-0.005,0.343,0.003,2.036,-1.048,2.006
2023-02-26 01:30:00,x,0.1,0.6,0.6,1.8122580800912873,-0.004,0.343,0.003,2.039,-1.054,1.991
2023-02-26 01:30:00,x,0.1,0.6,0.65,1.8008064018216514,-0.004,0.342,0.003,2.041,-1.057,1.975
2023-02-26 01:30:00,x,0.1,0.6,0.7,1.789524306620882,-0.005,0.345,0.003,2.028,-1.034,1.942
2023-02-26 01:30:00,x,0.1,0.6,0.75,1.77798473891551,-0.004,0.35,0.003,1.992,-0.97,1.912
2023-02-26 01:30:00,x,0.1,0.6,0.8,1.7661078415112912,-0.004,0.357,0.003,1.949,-0.897,1.983
2023-02-26 01:30:00,x,0.1,0.6,0.85,1.7484051199784305,-0.005,0.368,0.003,1.871,-0.772,2.064
2023-02-26 01:30:00,x,0.1,0.6,0.9,1.7422851165944104,-0.005,0.372,0.003,1.846,-0.732,2.055
2023-02-26 01:30:00,x,0.1,0.6,0.95,1.7413013297554931,-0.005,0.372,0.003,1.84,-0.723,2.012
2023-02-26 01:30:00,x,0.15,0.6,0.0,1.8264765013148658,0.013,0.413,0.0,1.35,-0.156,2.084
2023-02-26 01:30:00,x,0.15,0.6,0.05,1.8315690539801766,0.005,0.413,0.0,1.35,-0.157,2.049
2023-02-26 01:30:00,x,0.15,0.6,0.1,1.8336952141448721,0.002,0.412,0.0,1.356,-0.163,2.063
2023-02-26 01:30:00,x,0.15,0.6,0.15,1.836684822802077,-0.001,0.409,0.001,1.402,-0.213,2.043
2023-02-26 01:30:00,x,0.15,0.6,0.2,1.8379607114032845,-0.002,0.403,0.002,1.488,-0.309,2.012
2023-02-26 01:30:00,x,0.15,0.6,0.25,1.841415787413303,-0.004,0.379,0.003,1.777,-0.644,1.94
2023-02-26 01:30:00,x,0.15,0.6,0.3,1.8397482189318772,-0.004,0.367,0.003,1.875,-0.782,1.982
2023-02-26 01:30:00,x,0.15,0.6,0.35,1.8381877044736046,-0.004,0.361,0.003,1.915,-0.844,1.986
2023-02-26 01:30:00,x,0.15,0.6,0.4,1.8369757014700205,-0.004,0.357,0.003,1.945,-0.892,1.998
2023-02-26 01:30:00,x,0.15,0.6,0.45,1.8326621660684936,-0.005,0.351,0.003,1.986,-0.962,2.007
2023-02-26 01:30:00,x,0.15,0.6,0.5,1.829284470425106,-0.005,0.347,0.003,2.012,-1.007,2.015
2023-02-26 01:30:00,x,0.15,0.6,0.55,1.8214480190175304,-0.005,0.343,0.003,2.033,-1.044,2.015
2023-02-26 01:30:00,x,0.15,0.6,0.6,1.8099904288409334,-0.005,0.342,0.003,2.04,-1.055,1.986
2023-02-26 01:30:00,x,0.15,0.6,0.65,1.8010124629765436,-0.004,0.342,0.003,2.04,-1.055,1.979
2023-02-26 01:30:00,x,0.15,0.6,0.7,1.791999246255475,-0.004,0.345,0.003,2.026,-1.03,1.971
2023-02-26 01:30:00,x,0.15,0.6,0.75,1.779257291708381,-0.004,0.35,0.003,1.996,-0.977,1.934
2023-02-26 01:30:00,x,0.15,0.6,0.8,1.7648632837106366,-0.004,0.358,0.003,1.943,-0.888,1.966
2023-02-26 01:30:00,x,0.15,0.6,0.85,1.7473418800685208,-0.005,0.369,0.003,1.865,-0.763,2.053
2023-02-26 01:30:00,x,0.15,0.6,0.9,1.7406626438912405,-0.005,0.373,0.003,1.837,-0.719,2.069
2023-02-26 01:30:00,x,0.15,0.6,0.95,1.7391291221673708,-0.005,0.374,0.003,1.829,-0.707,2.086
2023-02-26 01:30:00,x,0.2,0.6,0.0,1.8226322124166123,0.012,0.413,0.0,1.35,-0.156,2.105
2023-02-26 01:30:00,x,0.2,0.6,0.05,1.8250494360742715,0.009,0.413,0.0,1.342,-0.15,2.142
2023-02-26 01:30:00,x,0.2,0.6,0.1,1.826055356243877,0.005,0.413,0.0,1.348,-0.156,2.129
2023-02-26 01:30:00,x,0.2,0.6,0.15,1.8299852410785844,0.002,0.411,0.0,1.377,-0.188,2.064
2023-02-26 01:30:00,x,0.2,0.6,0.2,1.836393749180907,-0.002,0.402,0.001,1.487,-0.314,1.996
2023-02-26 01:30:00,x,0.2,0.6,0.25,1.8395848794748746,-0.004,0.381,0.003,1.744,-0.612,1.985
2023-02-26 01:30:00,x,0.2,0.6,0.3,1.8381561847521477,-0.004,0.368,0.003,1.872,-0.777,1.99
2023-02-26 01:30:00,x,0.2,0.6,0.35,1.8371779370041819,-0.004,0.363,0.003,1.907,-0.832,1.992
2023-02-26 01:30:00,x,0.2,0.6,0.4,1.8360137945203412,-0.004,0.36,0.003,1.928,-0.865,2.005
2023-02-26 01:30:00,x,0.2,0.6,0.45,1.831927335271936,-0.005,0.353,0.003,1.973,-0.94,2.015
2023-02-26 01:30:00,x,0.2,0.6,0.5,1.8276922886744456,-0.005,0.348,0.003,2.003,-0.992,2.023
2023-02-26 01:30:00,x,0.2,0.6,0.55,1.8186151321186912,-0.005,0.346,0.003,2.02,-1.021,2.03
2023-02-26 01:30:00,x,0.2,0.6,0.6,1.8053921010096685,-0.004,0.345,0.003,2.023,-1.025,1.996
2023-02-26 01:30:00,x,0.2,0.6,0.65,1.7969765283875945,-0.004,0.346,0.003,2.02,-1.02,1.992
2023-02-26 01:30:00,x,0.2,0.6,0.7,1.7886490826003694,-0.004,0.347,0.003,2.012,-1.005,1.974
