Time,plot,x_(m),y_(m),z_(m),log_res25,del_log_res25,swc,del_swc,pF,logK_cmd,cov
2023-04-06 00:30:00,x,0.05,0.6,0.0,1.8053921010096685,-0.003,0.413,0.0,1.35,-0.156,1.961
2023-04-06 00:30:00,x,0.05,0.6,0.05,1.80650557276103,-0.003,0.413,0.0,1.35,-0.156,1.97
2023-04-06 00:30:00,x,0.05,0.6,0.1,1.8187931419281802,-0.007,0.411,0.001,1.378,-0.186,1.975
2023-04-06 00:30:00,x,0.05,0.6,0.15,1.8127529721459616,-0.008,0.411,0.002,1.353,-0.175,1.988
2023-04-06 00:30:00,x,0.05,0.6,0.2,1.7881683711411678,-0.008,0.415,0.002,1.232,-0.091,1.944
2023-04-06 00:30:00,x,0.05,0.6,0.25,1.7711169240728144,-0.009,0.417,0.002,1.088,-0.013,1.931
2023-04-06 00:30:00,x,0.05,0.6,0.3,1.738296859233242,-0.009,0.423,0.002,0.849,0.123,1.974
2023-04-06 00:30:00,x,0.05,0.6,0.35,1.7119168429403049,-0.008,0.426,0.001,0.678,0.205,2.025
2023-04-06 00:30:00,x,0.05,0.6,0.4,1.6948332533190624,-0.008,0.427,0.0,0.63,0.226,2.034
2023-04-06 00:30:00,x,0.05,0.6,0.45,1.6796004898261194,-0.008,0.427,0.0,0.63,0.226,2.036
2023-04-06 00:30:00,x,0.05,0.6,0.5,1.673822367153048,-0.008,0.426,0.0,0.644,0.221,2.042
2023-04-06 00:30:00,x,0.05,0.6,0.55,1.6682181310496085,-0.007,0.425,0.001,0.782,0.168,2.035
2023-04-06 00:30:00,x,0.05,0.6,0.6,1.6663213803700176,-0.007,0.421,0.001,0.997,0.058,2.023
2023-04-06 00:30:00,x,0.05,0.6,0.65,1.6694842423330307,-0.006,0.413,0.002,1.271,-0.12,2.004
2023-04-06 00:30:00,x,0.05,0.6,0.7,1.677068312644881,-0.006,0.405,0.003,1.437,-0.264,1.961
2023-04-06 00:30:00,x,0.05,0.6,0.75,1.6851413706177507,-0.006,0.401,0.003,1.493,-0.325,1.932
2023-04-06 00:30:00,x,0.05,0.6,0.8,1.6954816764901974,-0.006,0.396,0.002,1.537,-0.381,1.965
2023-04-06 00:30:00,x,0.05,0.6,0.85,1.7129189480598297,-0.005,0.386,0.002,1.644,-0.515,1.963
2023-04-06 00:30:00,x,0.05,0.6,0.9,1.7209609738000966,-0.005,0.383,0.002,1.681,-0.558,1.964
2023-04-06 00:30:00,x,0.05,0.6,0.95,1.7255114398921736,-0.005,0.381,0.003,1.713,-0.592,1.969
2023-04-06 00:30:00,x,0.1,0.6,0.0,1.8030061986886614,-0.003,0.413,0.0,1.35,-0.156,1.965
2023-04-06 00:30:00,x,0.1,0.6,0.05,1.8151126581898125,-0.005,0.412,0.001,1.367,-0.174,1.999
2023-04-06 00:30:00,x,0.1,0.6,0.1,1.8184634365617554,-0.006,0.409,0.001,1.4,-0.209,2.05
2023-04-06 00:30:00,x,0.1,0.6,0.15,1.8169965142848883,-0.008,0.41,0.002,1.37,-0.188,2.094
2023-04-06 00:30:00,x,0.1,0.6,0.2,1.7942649167425522,-0.008,0.412,0.002,1.27,-0.126,2.02
2023-04-06 00:30:00,x,0.1,0.6,0.25,1.768001359986824,-0.009,0.418,0.002,1.063,-0.003,1.927
2023-04-06 00:30:00,x,0.1,0.6,0.3,1.7321926510062684,-0.009,0.424,0.002,0.803,0.146,2.003
2023-04-06 00:30:00,x,0.1,0.6,0.35,1.7138683912822246,-0.008,0.426,0.001,0.678,0.204,2.023
2023-04-06 00:30:00,x,0.1,0.6,0.4,1.6969327352238386,-0.008,0.427,0.0,0.63,0.226,2.027
2023-04-06 00:30:00,x,0.1,0.6,0.45,1.6814221557210085,-0.008,0.427,0.0,0.63,0.226,2.035
2023-04-06 00:30:00,x,0.1,0.6,0.5,1.6762728259247512,-0.008,0.427,0.0,0.63,0.226,2.038
2023-04-06 00:30:00,x,0.1,0.6,0.55,1.667350204407376,-0.007,0.425,0.001,0.779,0.17,2.034
