date,Time,x_(m),y_(m),z_(m),res,res25,del_log_res25,tempC,swc,del_swc,pF,logK_cmd,cov,res_sd,res25_sd,del_log_res25_sd,tempC_sd,swc_sd,del_swc_sd,pF_sd,logK_cmd_sd,cov_sd,log_res25
2021_12_16_01_30,2021-12-16 01:30:00,2.35,0.6,0.6,67.646,46.891,0.003,8.852,0.417,-0.001,1.11,-0.019,2.207,1.103,1.103,0.012,0.046,0.011,0.003,0.271,0.209,0.116,1.6710894946252
2021_12_16_01_30,2021-12-16 01:30:00,2.35,0.6,0.65,66.112,45.882,0.006,8.895,0.417,-0.001,1.143,-0.025,2.194,1.087,1.086,0.011,0.039,0.008,0.003,0.197,0.156,0.125,1.6616423405725735
2021_12_16_01_30,2021-12-16 01:30:00,2.35,0.6,0.7,65.121,45.233,0.009,8.926,0.417,-0.001,1.165,-0.032,2.192,1.075,1.075,0.01,0.03,0.007,0.002,0.154,0.125,0.146,1.6554553925267945
2021_12_16_01_30,2021-12-16 01:30:00,2.35,0.6,0.75,64.327,44.704,0.012,8.945,0.418,-0.001,1.167,-0.027,2.188,1.063,1.063,0.011,0.014,0.004,0.002,0.109,0.089,0.17,1.650346384434088
2021_12_16_01_30,2021-12-16 01:30:00,2.35,0.6,0.8,63.702,44.276,0.018,8.95,0.418,-0.0,1.151,-0.014,2.238,1.05,1.05,0.012,0.003,0.003,0.002,0.073,0.058,0.249,1.6461683787740822
2021_12_16_01_30,2021-12-16 01:30:00,2.35,0.6,0.85,63.758,44.315,0.021,8.95,0.418,-0.001,1.153,-0.014,2.307,1.046,1.046,0.012,0.0,0.002,0.002,0.068,0.051,0.315,1.6465507536403412
2021_12_16_01_30,2021-12-16 01:30:00,2.35,0.6,0.9,64.028,44.503,0.023,8.95,0.418,-0.001,1.159,-0.019,2.33,1.045,1.045,0.012,0.0,0.003,0.002,0.081,0.061,0.32,1.6483892882737465
2021_12_16_01_30,2021-12-16 01:30:00,2.35,0.6,0.95,64.115,44.563,0.023,8.95,0.418,-0.001,1.164,-0.024,2.329,1.046,1.046,0.013,0.0,0.003,0.003,0.092,0.072,0.29,1.648974420037966
2021_12_26_07_30,2021-12-26 07:30:00,2.35,0.6,0.0,142.799,91.93,-0.009,6.252,0.335,0.005,2.048,-1.125,2.371,1.178,1.178,0.011,0.179,0.042,0.007,0.296,0.489,0.273,1.9634572601167075
2021_12_26_07_30,2021-12-26 07:30:00,2.35,0.6,0.05,141.439,92.623,-0.003,6.841,0.332,0.002,2.067,-1.16,2.37,1.181,1.18,0.012,0.679,0.043,0.008,0.296,0.494,0.331,1.9667188434074503
2021_12_26_07_30,2021-12-26 07:30:00,2.35,0.6,0.1,139.287,92.629,0.002,7.375,0.33,-0.001,2.081,-1.185,2.357,1.183,1.182,0.012,0.608,0.043,0.008,0.296,0.497,0.357,1.9667469755398141
2021_12_26_07_30,2021-12-26 07:30:00,2.35,0.6,0.15,136.178,91.522,0.005,7.743,0.328,-0.003,2.089,-1.203,2.332,1.188,1.186,0.011,0.362,0.044,0.007,0.307,0.511,0.365,1.9615255020463402
2021_12_26_07_30,2021-12-26 07:30:00,2.35,0.6,0.2,129.685,87.693,0.006,7.958,0.331,-0.004,2.059,-1.166,2.275,1.193,1.192,0.011,0.181,0.045,0.007,0.344,0.532,0.323,1.9429649276567484
2021_12_26_07_30,2021-12-26 07:30:00,2.35,0.6,0.25,115.14,78.396,0.006,8.204,0.345,-0.004,1.921,-0.983,2.204,1.201,1.199,0.01,0.135,0.046,0.007,0.451,0.578,0.233,1.8942939042374374
2021_12_26_07_30,2021-12-26 07:30:00,2.35,0.6,0.3,104.037,71.124,0.006,8.35,0.36,-0.003,1.758,-0.791,2.202,1.199,1.198,0.01,0.08,0.046,0.006,0.546,0.603,0.166,1.852016173286643
2021_12_26_07_30,2021-12-26 07:30:00,2.35,0.6,0.35,96.969,66.417,0.005,8.417,0.371,-0.003,1.643,-0.654,2.223,1.192,1.191,0.009,0.055,0.043,0.005,0.575,0.588,0.147,1.8222792549891003
2021_12_26_07_30,2021-12-26 07:30:00,2.35,0.6,0.4,90.952,62.385,0.005,8.469,0.38,-0.002,1.541,-0.534,2.237,1.184,1.183,0.009,0.049,0.039,0.005,0.582,0.559,0.133,1.7950801794206148
2021_12_26_07_30,2021-12-26 07:30:00,2.35,0.6,0.45,85.159,58.499,0.004,8.523,0.389,-0.002,1.438,-0.415,2.24,1.177,1.176,0.009,0.049,0.035,0.004,0.573,0.516,0.123,1.7671484421814307
2021_12_26_07_30,2021-12-26 07:30:00,2.35,0.6,0.5,79.458,54.657,0.004,8.573,0.398,-0.002,1.334,-0.292,2.241,1.163,1.162,0.008,0.036,0.028,0.004,0.534,0.45,0.116,1.7376457905618883
2021_12_26_07_30,2021-12-26 07:30:00,2.35,0.6,0.55,73.538,50.621,0.003,8.598,0.408,-0.002,1.23,-0.157,2.23,1.134,1.134,0.008,0.008,0.02,0.004,0.434,0.349,0.115,1.7043307202412834
2021_12_26_07_30,2021-12-26 07:30:00,2.35,0.6,0.6,70.128,48.276,0.003,8.6,0.412,-0.002,1.226,-0.113,2.206,1.109,1.109,0.007,0.001,0.014,0.004,0.322,0.258,0.118,1.6837312786188863
2021_12_26_07_30,2021-12-26 07:30:00,2.35,0.6,0.65,68.639,47.251,0.004,8.6,0.413,-0.002,1.252,-0.115,2.19,1.093,1.093,0.007,0.0,0.011,0.003,0.257,0.212,0.128,1.674411004165626
2021_12_26_07_30,2021-12-26 07:30:00,2.35,0.6,0.7,67.887,46.734,0.004,8.6,0.412,-0.001,1.276,-0.125,2.183,1.082,1.082,0.007,0.0,0.01,0.003,0.227,0.192,0.147,1.6696329542231636
2021_12_26_07_30,2021-12-26 07:30:00,2.35,0.6,0.75,67.555,46.505,0.004,8.6,0.412,-0.001,1.29,-0.132,2.173,1.072,1.072,0.007,0.0,0.01,0.003,0.207,0.18,0.171,1.6674996487108584
2021_12_26_07_30,2021-12-26 07:30:00,2.35,0.6,0.8,68.015,46.822,0.005,8.6,0.412,-0.001,1.302,-0.143,2.211,1.064,1.064,0.007,0.0,0.011,0.002,0.212,0.189,0.251,1.6704499606295649
2021_12_26_07_30,2021-12-26 07:30:00,2.35,0.6,0.85,68.828,47.381,0.005,8.6,0.41,-0.001,1.335,-0.173,2.274,1.061,1.061,0.007,0.0,0.012,0.003,0.223,0.202,0.318,1.675604222488453
2021_12_26_07_30,2021-12-26 07:30:00,2.35,0.6,0.9,69.522,47.859,0.006,8.6,0.408,-0.002,1.369,-0.204,2.296,1.061,1.061,0.007,0.0,0.012,0.004,0.232,0.214,0.324,1.6799636199142949
2021_12_26_07_30,2021-12-26 07:30:00,2.35,0.6,0.95,69.822,48.065,0.006,8.6,0.407,-0.002,1.385,-0.22,2.295,1.062,1.062,0.007,0.0,0.013,0.004,0.238,0.223,0.294,1.681828946648094
2022_01_01_07_30,2022-01-01 07:30:00,2.35,0.6,0.0,164.557,99.493,0.007,4.191,0.315,-0.004,2.18,-1.357,2.343,1.161,1.161,0.011,0.156,0.039,0.006,0.253,0.445,0.275,1.9977925262902967
2022_01_01_07_30,2022-01-01 07:30:00,2.35,0.6,0.05,162.945,100.166,0.008,4.728,0.312,-0.004,2.198,-1.39,2.341,1.162,1.161,0.011,0.618,0.038,0.006,0.246,0.441,0.331,2.0007203311303963
2022_01_01_07_30,2022-01-01 07:30:00,2.35,0.6,0.1,160.346,100.059,0.008,5.217,0.31,-0.005,2.212,-1.413,2.328,1.163,1.161,0.011,0.556,0.038,0.006,0.238,0.433,0.357,2.0002561581850866
2022_01_01_07_30,2022-01-01 07:30:00,2.35,0.6,0.15,156.771,98.864,0.009,5.561,0.308,-0.005,2.222,-1.433,2.304,1.164,1.162,0.011,0.34,0.038,0.007,0.239,0.436,0.364,1.995038177870503
2022_01_01_07_30,2022-01-01 07:30:00,2.35,0.6,0.2,149.038,94.609,0.009,5.78,0.311,-0.005,2.204,-1.4,2.248,1.164,1.163,0.011,0.182,0.038,0.007,0.246,0.434,0.323,1.9759324520933303
2022_01_01_07_30,2022-01-01 07:30:00,2.35,0.6,0.25,131.169,83.932,0.008,6.047,0.327,-0.005,2.095,-1.215,2.179,1.173,1.171,0.011,0.149,0.039,0.007,0.307,0.462,0.234,1.9239275719587507
2022_01_01_07_30,2022-01-01 07:30:00,2.35,0.6,0.3,117.709,75.71,0.007,6.221,0.344,-0.004,1.963,-1.012,2.176,1.169,1.168,0.01,0.107,0.04,0.007,0.375,0.491,0.173,1.8791532461842462
2022_01_01_07_30,2022-01-01 07:30:00,2.35,0.6,0.35,109.097,70.383,0.007,6.324,0.357,-0.004,1.853,-0.856,2.199,1.16,1.159,0.01,0.092,0.039,0.006,0.417,0.493,0.156,1.8474677742308907
2022_01_01_07_30,2022-01-01 07:30:00,2.35,0.6,0.4,101.723,65.803,0.006,6.415,0.369,-0.003,1.738,-0.704,2.214,1.152,1.15,0.009,0.089,0.037,0.006,0.451,0.489,0.142,1.8182456938228555
2022_01_01_07_30,2022-01-01 07:30:00,2.35,0.6,0.45,94.708,61.441,0.005,6.513,0.381,-0.002,1.609,-0.551,2.218,1.145,1.144,0.009,0.091,0.034,0.005,0.48,0.474,0.132,1.788458275561015
2022_01_01_07_30,2022-01-01 07:30:00,2.35,0.6,0.5,87.869,57.171,0.004,6.613,0.393,-0.001,1.467,-0.393,2.22,1.131,1.129,0.008,0.076,0.029,0.004,0.484,0.435,0.126,1.7571757886929096
2022_01_01_07_30,2022-01-01 07:30:00,2.35,0.6,0.55,80.817,52.725,0.004,6.705,0.404,-0.001,1.326,-0.232,2.212,1.107,1.107,0.007,0.046,0.022,0.003,0.426,0.361,0.123,1.722016588411524
2022_01_01_07_30,2022-01-01 07:30:00,2.35,0.6,0.6,76.713,50.131,0.003,6.763,0.408,-0.0,1.295,-0.174,2.191,1.087,1.087,0.006,0.041,0.017,0.003,0.34,0.288,0.123,1.7001063678915354
2022_01_01_07_30,2022-01-01 07:30:00,2.35,0.6,0.65,74.871,48.982,0.003,6.801,0.409,-0.0,1.326,-0.18,2.179,1.074,1.074,0.006,0.034,0.014,0.003,0.28,0.245,0.132,1.6900365139702132
2022_01_01_07_30,2022-01-01 07:30:00,2.35,0.6,0.7,73.94,48.412,0.003,6.829,0.408,-0.0,1.359,-0.199,2.178,1.066,1.066,0.006,0.027,0.013,0.003,0.249,0.224,0.15,1.6849530246161417
2022_01_01_07_30,2022-01-01 07:30:00,2.35,0.6,0.75,73.486,48.138,0.002,6.846,0.408,-0.0,1.383,-0.214,2.173,1.06,1.06,0.005,0.013,0.012,0.003,0.227,0.208,0.172,1.6824880425861386
2022_01_01_07_30,2022-01-01 07:30:00,2.35,0.6,0.8,73.903,48.417,0.002,6.85,0.406,-0.0,1.412,-0.239,2.218,1.056,1.056,0.005,0.002,0.012,0.003,0.22,0.205,0.25,1.684997876311635
2022_01_01_07_30,2022-01-01 07:30:00,2.35,0.6,0.85,74.693,48.935,0.002,6.85,0.404,-0.0,1.454,-0.278,2.284,1.054,1.054,0.005,0.0,0.013,0.003,0.216,0.207,0.315,1.6896195926548732
2022_01_01_07_30,2022-01-01 07:30:00,2.35,0.6,0.9,75.347,49.363,0.001,6.85,0.402,-0.0,1.488,-0.312,2.306,1.054,1.054,0.005,0.0,0.013,0.003,0.214,0.21,0.322,1.6934015457548046
2022_01_01_07_30,2022-01-01 07:30:00,2.35,0.6,0.95,75.645,49.559,0.001,6.85,0.401,-0.0,1.502,-0.327,2.304,1.054,1.054,0.005,0.0,0.014,0.003,0.216,0.214,0.292,1.6951225346115426
2022_01_06_07_30,2022-01-06 07:30:00,2.35,0.6,0.0,148.716,102.048,0.006,8.484,0.308,-0.003,2.222,-1.431,2.333,1.156,1.156,0.011,0.028,0.037,0.007,0.231,0.426,0.272,2.008804497562865
2022_01_06_07_30,2022-01-06 07:30:00,2.35,0.6,0.05,147.511,100.925,0.006,8.378,0.31,-0.004,2.213,-1.413,2.332,1.156,1.156,0.011,0.126,0.037,0.007,0.231,0.424,0.329,2.003998758082352
2022_01_06_07_30,2022-01-06 07:30:00,2.35,0.6,0.1,145.521,99.273,0.007,8.273,0.312,-0.004,2.202,-1.392,2.319,1.156,1.156,0.011,0.127,0.037,0.007,0.232,0.422,0.356,1.996831146325563
2022_01_06_07_30,2022-01-06 07:30:00,2.35,0.6,0.15,142.692,97.07,0.008,8.172,0.313,-0.005,2.196,-1.382,2.294,1.157,1.158,0.011,0.101,0.037,0.007,0.237,0.424,0.363,1.987085029624122
2022_01_06_07_30,2022-01-06 07:30:00,2.35,0.6,0.2,136.443,92.542,0.008,8.066,0.317,-0.005,2.171,-1.337,2.236,1.158,1.159,0.011,0.092,0.037,0.007,0.246,0.425,0.323,1.9663388811545617
2022_01_06_07_30,2022-01-06 07:30:00,2.35,0.6,0.25,121.911,82.298,0.008,7.898,0.332,-0.005,2.064,-1.157,2.166,1.162,1.163,0.011,0.094,0.038,0.007,0.306,0.446,0.238,1.9153892811476536
2022_01_06_07_30,2022-01-06 07:30:00,2.35,0.6,0.3,110.79,74.558,0.007,7.788,0.348,-0.004,1.937,-0.967,2.163,1.157,1.158,0.011,0.067,0.038,0.007,0.373,0.472,0.178,1.8724942496595844
2022_01_06_07_30,2022-01-06 07:30:00,2.35,0.6,0.35,103.535,69.551,0.007,7.724,0.36,-0.004,1.833,-0.821,2.186,1.148,1.148,0.011,0.056,0.037,0.006,0.411,0.471,0.159,1.8423033786323033
2022_01_06_07_30,2022-01-06 07:30:00,2.35,0.6,0.4,97.234,65.216,0.006,7.669,0.371,-0.002,1.721,-0.678,2.201,1.141,1.141,0.012,0.054,0.035,0.006,0.446,0.467,0.144,1.8143541579903135
2022_01_06_07_30,2022-01-06 07:30:00,2.35,0.6,0.45,91.082,60.985,0.004,7.609,0.383,-0.001,1.592,-0.529,2.206,1.136,1.137,0.012,0.056,0.032,0.006,0.476,0.455,0.132,1.78522302815318
2022_01_06_07_30,2022-01-06 07:30:00,2.35,0.6,0.5,84.876,56.727,0.003,7.545,0.394,0.0,1.445,-0.369,2.209,1.126,1.127,0.012,0.05,0.027,0.007,0.483,0.42,0.124,1.75378981656494
2022_01_06_07_30,2022-01-06 07:30:00,2.35,0.6,0.55,78.307,52.234,0.001,7.476,0.406,0.001,1.298,-0.206,2.2,1.105,1.106,0.014,0.038,0.021,0.007,0.422,0.348,0.12,1.717953284719067
2022_01_06_07_30,2022-01-06 07:30:00,2.35,0.6,0.6,74.316,49.502,-0.001,7.426,0.41,0.001,1.265,-0.15,2.178,1.093,1.093,0.015,0.035,0.016,0.005,0.339,0.285,0.12,1.6946227458308825
2022_01_06_07_30,2022-01-06 07:30:00,2.35,0.6,0.65,72.413,48.188,-0.002,7.393,0.41,0.001,1.29,-0.152,2.165,1.085,1.085,0.016,0.03,0.014,0.005,0.283,0.247,0.13,1.6829389016697796
2022_01_06_07_30,2022-01-06 07:30:00,2.35,0.6,0.7,71.274,47.397,-0.003,7.369,0.41,0.001,1.312,-0.163,2.162,1.081,1.081,0.016,0.024,0.013,0.004,0.255,0.229,0.149,1.6757508538116812
2022_01_06_07_30,2022-01-06 07:30:00,2.35,0.6,0.75,70.52,46.876,-0.004,7.354,0.41,0.001,1.324,-0.167,2.157,1.078,1.078,0.016,0.011,0.012,0.004,0.236,0.215,0.172,1.6709505455858977
2022_01_06_07_30,2022-01-06 07:30:00,2.35,0.6,0.8,70.346,46.756,-0.006,7.35,0.41,0.001,1.331,-0.172,2.203,1.079,1.079,0.018,0.002,0.012,0.003,0.233,0.213,0.249,1.6698373499612795
2022_01_06_07_30,2022-01-06 07:30:00,2.35,0.6,0.85,70.756,47.028,-0.007,7.35,0.409,0.001,1.35,-0.189,2.27,1.079,1.079,0.018,0.0,0.013,0.004,0.237,0.218,0.314,1.6723565095257273
2022_01_06_07_30,2022-01-06 07:30:00,2.35,0.6,0.9,71.191,47.317,-0.008,7.35,0.408,0.001,1.368,-0.206,2.294,1.078,1.078,0.019,0.0,0.013,0.004,0.242,0.222,0.321,1.6750172016205662
2022_01_06_07_30,2022-01-06 07:30:00,2.35,0.6,0.95,71.369,47.435,-0.008,7.35,0.407,0.002,1.375,-0.213,2.293,1.078,1.078,0.019,0.0,0.013,0.005,0.245,0.227,0.29,1.676098904916701
2022_01_11_07_30,2022-01-11 07:30:00,2.35,0.6,0.0,148.638,100.145,-0.005,7.829,0.313,0.003,2.175,-1.369,2.278,1.191,1.191,0.021,0.05,0.045,0.013,0.313,0.525,0.314,2.00062927088754
2022_01_11_07_30,2022-01-11 07:30:00,2.35,0.6,0.05,147.51,99.858,-0.006,7.998,0.313,0.004,2.179,-1.374,2.275,1.19,1.19,0.02,0.194,0.045,0.013,0.309,0.52,0.363,1.9993828635650555
2022_01_11_07_30,2022-01-11 07:30:00,2.35,0.6,0.1,145.599,98.978,-0.006,8.148,0.313,0.004,2.18,-1.374,2.262,1.188,1.188,0.02,0.171,0.044,0.013,0.304,0.512,0.388,1.995538673987773
2022_01_11_07_30,2022-01-11 07:30:00,2.35,0.6,0.15,143.076,97.526,-0.005,8.244,0.312,0.004,2.186,-1.386,2.236,1.185,1.185,0.019,0.098,0.044,0.013,0.305,0.511,0.391,1.9891204121215407
2022_01_11_07_30,2022-01-11 07:30:00,2.35,0.6,0.2,137.135,93.592,-0.005,8.288,0.314,0.003,2.173,-1.36,2.177,1.178,1.178,0.018,0.04,0.042,0.012,0.302,0.494,0.352,1.9712387279652372
2022_01_11_07_30,2022-01-11 07:30:00,2.35,0.6,0.25,122.714,83.847,-0.004,8.33,0.327,0.003,2.093,-1.209,2.112,1.17,1.17,0.016,0.027,0.04,0.011,0.303,0.467,0.272,1.9234875284000215
2022_01_11_07_30,2022-01-11 07:30:00,2.35,0.6,0.3,111.678,76.389,-0.002,8.369,0.342,0.002,2.001,-1.049,2.113,1.159,1.158,0.014,0.034,0.038,0.01,0.31,0.452,0.22,1.8830308247635805
2022_01_11_07_30,2022-01-11 07:30:00,2.35,0.6,0.35,104.39,71.477,-0.002,8.406,0.353,0.001,1.92,-0.918,2.138,1.146,1.146,0.012,0.038,0.036,0.009,0.323,0.437,0.202,1.8541663162064754
2022_01_11_07_30,2022-01-11 07:30:00,2.35,0.6,0.4,97.955,67.145,-0.001,8.446,0.364,0.001,1.827,-0.786,2.153,1.136,1.135,0.011,0.039,0.034,0.007,0.355,0.428,0.188,1.8270136781624762
2022_01_11_07_30,2022-01-11 07:30:00,2.35,0.6,0.45,91.638,62.89,-0.0,8.489,0.376,0.0,1.718,-0.642,2.159,1.128,1.127,0.009,0.04,0.032,0.006,0.382,0.416,0.177,1.7985815947285477
2022_01_11_07_30,2022-01-11 07:30:00,2.35,0.6,0.5,85.191,58.534,0.0,8.531,0.388,-0.0,1.582,-0.479,2.163,1.112,1.111,0.008,0.032,0.027,0.005,0.4,0.389,0.169,1.7674082032286527
2022_01_11_07_30,2022-01-11 07:30:00,2.35,0.6,0.55,78.248,53.811,0.001,8.563,0.401,-0.001,1.408,-0.293,2.157,1.093,1.093,0.007,0.013,0.022,0.004,0.393,0.345,0.161,1.730871062859475
2022_01_11_07_30,2022-01-11 07:30:00,2.35,0.6,0.6,73.89,50.836,0.001,8.578,0.407,-0.001,1.335,-0.203,2.137,1.078,1.078,0.007,0.01,0.017,0.004,0.328,0.284,0.155,1.7061713710269308
2022_01_11_07_30,2022-01-11 07:30:00,2.35,0.6,0.65,71.745,49.373,0.001,8.588,0.408,-0.001,1.339,-0.19,2.127,1.066,1.066,0.006,0.009,0.014,0.004,0.276,0.241,0.162,1.6934895166030035
2022_01_11_07_30,2022-01-11 07:30:00,2.35,0.6,0.7,70.383,48.445,0.001,8.595,0.409,-0.001,1.35,-0.19,2.128,1.061,1.061,0.006,0.007,0.012,0.004,0.243,0.215,0.175,1.68524896024201
2022_01_11_07_30,2022-01-11 07:30:00,2.35,0.6,0.75,69.322,47.72,0.001,8.599,0.41,-0.0,1.345,-0.177,2.127,1.053,1.053,0.007,0.003,0.01,0.004,0.21,0.184,0.193,1.6787004349983043
2022_01_11_07_30,2022-01-11 07:30:00,2.35,0.6,0.8,68.686,47.284,0.0,8.6,0.412,0.0,1.32,-0.151,2.176,1.046,1.046,0.008,0.001,0.008,0.004,0.182,0.154,0.264,1.6747142086609965
2022_01_11_07_30,2022-01-11 07:30:00,2.35,0.6,0.85,68.711,47.301,-0.0,8.6,0.412,0.0,1.321,-0.15,2.245,1.045,1.045,0.008,0.0,0.008,0.004,0.178,0.15,0.327,1.674870322342275
2022_01_11_07_30,2022-01-11 07:30:00,2.35,0.6,0.9,68.909,47.437,-0.001,8.6,0.411,0.0,1.331,-0.159,2.269,1.045,1.045,0.008,0.0,0.008,0.004,0.181,0.154,0.336,1.676117215671485
2022_01_11_07_30,2022-01-11 07:30:00,2.35,0.6,0.95,68.996,47.497,-0.001,8.6,0.411,0.001,1.335,-0.162,2.268,1.045,1.045,0.009,0.0,0.008,0.004,0.182,0.156,0.307,1.6766661796334743
2022_01_16_07_30,2022-01-16 07:30:00,2.35,0.6,0.0,144.954,101.15,-0.002,9.095,0.311,0.001,2.183,-1.397,2.288,1.218,1.218,0.022,0.078,0.049,0.011,0.346,0.578,0.311,2.0049658871068234
2022_01_16_07_30,2022-01-16 07:30:00,2.35,0.6,0.05,144.019,101.21,-0.001,9.357,0.31,0.0,2.191,-1.411,2.285,1.216,1.216,0.021,0.298,0.049,0.011,0.343,0.575,0.361,2.0052234248581358
2022_01_16_07_30,2022-01-16 07:30:00,2.35,0.6,0.1,142.279,100.604,0.001,9.585,0.309,-0.0,2.196,-1.419,2.271,1.214,1.213,0.021,0.26,0.048,0.011,0.338,0.568,0.385,2.002615248546869
2022_01_16_07_30,2022-01-16 07:30:00,2.35,0.6,0.15,140.13,99.459,0.002,9.724,0.307,-0.001,2.206,-1.439,2.245,1.211,1.21,0.02,0.146,0.048,0.012,0.339,0.569,0.386,1.997644088350206
2022_01_16_07_30,2022-01-16 07:30:00,2.35,0.6,0.2,134.785,95.799,0.002,9.777,0.309,-0.001,2.199,-1.422,2.186,1.201,1.201,0.019,0.051,0.047,0.012,0.335,0.553,0.345,1.9813609757095612
2022_01_16_07_30,2022-01-16 07:30:00,2.35,0.6,0.25,120.934,86.035,0.003,9.812,0.321,-0.001,2.127,-1.28,2.119,1.19,1.189,0.017,0.026,0.044,0.011,0.324,0.517,0.265,1.9346751630414731
2022_01_16_07_30,2022-01-16 07:30:00,2.35,0.6,0.3,110.194,78.476,0.004,9.851,0.335,-0.002,2.047,-1.129,2.119,1.177,1.176,0.014,0.04,0.042,0.01,0.309,0.488,0.214,1.8947368585130784
2022_01_16_07_30,2022-01-16 07:30:00,2.35,0.6,0.35,103.005,73.444,0.004,9.895,0.346,-0.002,1.975,-1.003,2.143,1.165,1.164,0.012,0.048,0.04,0.009,0.305,0.469,0.197,1.8659563219325728
2022_01_16_07_30,2022-01-16 07:30:00,2.35,0.6,0.4,96.54,68.924,0.004,9.944,0.357,-0.003,1.892,-0.872,2.158,1.153,1.153,0.011,0.049,0.038,0.008,0.316,0.454,0.183,1.8383704737602935
2022_01_16_07_30,2022-01-16 07:30:00,2.35,0.6,0.45,90.095,64.417,0.004,9.999,0.369,-0.003,1.786,-0.723,2.162,1.142,1.141,0.01,0.051,0.035,0.007,0.344,0.441,0.172,1.8090004951843262
2022_01_16_07_30,2022-01-16 07:30:00,2.35,0.6,0.5,83.474,59.776,0.004,10.058,0.383,-0.003,1.646,-0.55,2.165,1.121,1.12,0.009,0.047,0.031,0.006,0.383,0.414,0.165,1.7765268502139806
2022_01_16_07_30,2022-01-16 07:30:00,2.35,0.6,0.55,76.16,54.634,0.003,10.124,0.397,-0.002,1.469,-0.351,2.158,1.104,1.104,0.008,0.037,0.025,0.006,0.387,0.367,0.157,1.7374629983240786
2022_01_16_07_30,2022-01-16 07:30:00,2.35,0.6,0.6,71.359,51.257,0.001,10.174,0.405,-0.001,1.385,-0.243,2.137,1.086,1.085,0.008,0.036,0.018,0.005,0.315,0.289,0.151,1.709753183947856
2022_01_16_07_30,2022-01-16 07:30:00,2.35,0.6,0.65,68.901,49.536,0.001,10.207,0.407,-0.001,1.368,-0.211,2.127,1.069,1.069,0.008,0.03,0.014,0.005,0.262,0.235,0.157,1.6949209346667797
2022_01_16_07_30,2022-01-16 07:30:00,2.35,0.6,0.7,67.289,48.408,-0.0,10.231,0.409,-0.0,1.355,-0.191,2.13,1.061,1.061,0.009,0.024,0.012,0.005,0.233,0.208,0.171,1.6849171399243714
2022_01_16_07_30,2022-01-16 07:30:00,2.35,0.6,0.75,65.889,47.419,-0.001,10.246,0.411,0.001,1.318,-0.152,2.13,1.052,1.052,0.009,0.011,0.01,0.005,0.199,0.174,0.188,1.6759523910790903
2022_01_16_07_30,2022-01-16 07:30:00,2.35,0.6,0.8,64.596,46.493,-0.004,10.25,0.415,0.001,1.251,-0.092,2.181,1.045,1.045,0.011,0.002,0.006,0.005,0.156,0.127,0.259,1.6673875703046181
2022_01_16_07_30,2022-01-16 07:30:00,2.35,0.6,0.85,64.153,46.174,-0.005,10.25,0.416,0.002,1.227,-0.072,2.251,1.044,1.044,0.011,0.0,0.005,0.005,0.14,0.112,0.323,1.6643974986074674
2022_01_16_07_30,2022-01-16 07:30:00,2.35,0.6,0.9,64.065,46.11,-0.006,10.25,0.416,0.002,1.224,-0.07,2.276,1.046,1.046,0.012,0.0,0.006,0.005,0.142,0.115,0.332,1.6637951222194076
2022_01_16_07_30,2022-01-16 07:30:00,2.35,0.6,0.95,64.046,46.097,-0.006,10.25,0.416,0.002,1.222,-0.069,2.274,1.046,1.046,0.012,0.0,0.006,0.005,0.143,0.117,0.304,1.6636726623562268
2022_01_21_07_30,2022-01-21 07:30:00,2.35,0.6,0.0,144.823,101.746,0.002,9.345,0.31,-0.001,2.192,-1.409,2.286,1.21,1.209,0.003,0.077,0.049,0.002,0.335,0.57,0.318,2.007517344559916
2022_01_21_07_30,2022-01-21 07:30:00,2.35,0.6,0.05,143.967,101.863,0.001,9.609,0.309,-0.0,2.202,-1.425,2.283,1.209,1.208,0.003,0.301,0.048,0.002,0.33,0.565,0.367,2.0080164625750867
2022_01_21_07_30,2022-01-21 07:30:00,2.35,0.6,0.1,142.303,101.314,-0.0,9.841,0.308,0.0,2.209,-1.436,2.268,1.206,1.206,0.003,0.265,0.047,0.002,0.323,0.557,0.391,2.0056694621681648
2022_01_21_07_30,2022-01-21 07:30:00,2.35,0.6,0.15,140.356,100.327,-0.001,9.99,0.306,0.001,2.223,-1.462,2.241,1.204,1.204,0.003,0.151,0.047,0.002,0.32,0.556,0.391,2.0014178260715245
2022_01_21_07_30,2022-01-21 07:30:00,2.35,0.6,0.2,135.205,96.819,-0.001,10.057,0.306,0.001,2.222,-1.455,2.181,1.196,1.196,0.003,0.061,0.046,0.002,0.304,0.534,0.351,1.9859605926952375
2022_01_21_07_30,2022-01-21 07:30:00,2.35,0.6,0.25,121.63,87.241,-0.001,10.119,0.318,0.001,2.164,-1.328,2.114,1.188,1.188,0.003,0.037,0.042,0.002,0.269,0.489,0.272,1.9407206350358792
2022_01_21_07_30,2022-01-21 07:30:00,2.35,0.6,0.3,110.994,79.718,-0.001,10.17,0.33,0.001,2.088,-1.184,2.115,1.178,1.178,0.003,0.041,0.041,0.002,0.263,0.468,0.219,1.9015563943954912
2022_01_21_07_30,2022-01-21 07:30:00,2.35,0.6,0.35,103.802,74.639,-0.001,10.213,0.341,0.001,2.017,-1.06,2.138,1.169,1.168,0.003,0.044,0.04,0.002,0.268,0.458,0.202,1.8729658121774684
